feature,target,rank_fixed,rank_permuted,mean_fixed,mean_permuted
lot,single_logit,2,3,0.2228069467668741,0.1866567244590892
bathrooms,single_logit,4,4,0.1103710463943926,0.1818856396050856
bedrooms,single_logit,5,5,0.0749041020433177,0.15699187608313794
year_built,single_logit,3,2,0.1898343111795526,0.21785161778884463
property_type,single_logit,1,1,0.4020835936158626,0.2566141420638426
lot,logit_diff,5,5,0.1311161532660171,0.08129679086299982
bathrooms,logit_diff,2,3,0.1818913159987388,0.2199746958995157
bedrooms,logit_diff,4,2,0.1495358686417719,0.2450889089172333
year_built,logit_diff,3,4,0.1573067089392205,0.15394072723192154
property_type,logit_diff,1,1,0.3801499531542516,0.29969887708832965
