feature,position,target,mean_norm,n
lot,0,single_logit,0.22710334180578154,116
lot,1,single_logit,0.1552843799882241,96
lot,2,single_logit,0.1339888309315411,96
lot,3,single_logit,0.1619418801914538,96
lot,4,single_logit,0.2465388107645515,96
bathrooms,0,single_logit,0.33810664635901344,96
bathrooms,1,single_logit,0.14871558361166762,102
bathrooms,2,single_logit,0.12478008397487034,102
bathrooms,3,single_logit,0.10948918322708742,100
bathrooms,4,single_logit,0.1963910533554187,100
bedrooms,0,single_logit,0.27486290232504484,96
bedrooms,1,single_logit,0.14039495749185693,102
bedrooms,2,single_logit,0.09387897811458398,100
bedrooms,3,single_logit,0.09123482366695025,101
bedrooms,4,single_logit,0.18996236388489862,101
year_built,0,single_logit,0.2848379955922276,96
year_built,1,single_logit,0.22139110883235688,102
year_built,2,single_logit,0.2070013610115512,100
year_built,3,single_logit,0.15651866805464587,101
year_built,4,single_logit,0.22268264001974067,101
property_type,0,single_logit,0.2864029443653324,96
property_type,1,single_logit,0.21797742532538444,98
property_type,2,single_logit,0.1959640223093841,102
property_type,3,single_logit,0.21407410183502723,102
property_type,4,single_logit,0.3688893336101154,102
lot,0,logit_diff,0.11143403185919092,116
lot,1,logit_diff,0.0758959409704708,96
lot,2,logit_diff,0.05971240083404524,96
lot,3,logit_diff,0.06751574826167857,96
lot,4,logit_diff,0.08564724051540694,96
bathrooms,0,logit_diff,0.4261451108552277,96
bathrooms,1,logit_diff,0.21159083543668025,102
bathrooms,2,logit_diff,0.14418257277029378,102
bathrooms,3,logit_diff,0.11248433064393133,100
bathrooms,4,logit_diff,0.2154009660615148,100
bedrooms,0,logit_diff,0.4043710111841314,96
bedrooms,1,logit_diff,0.261534400594617,102
bedrooms,2,logit_diff,0.17071799939473653,100
bedrooms,3,logit_diff,0.147349129268083,101
bedrooms,4,logit_diff,0.2484580844429608,101
year_built,0,logit_diff,0.15153840351682268,96
year_built,1,logit_diff,0.131699194116575,102
year_built,2,logit_diff,0.1539038454666144,100
year_built,3,logit_diff,0.14682996863809425,101
year_built,4,logit_diff,0.1858331455380811,101
property_type,0,logit_diff,0.256266884696728,96
property_type,1,logit_diff,0.26493527774060066,98
property_type,2,logit_diff,0.2764875617134571,102
property_type,3,logit_diff,0.3119533296743797,102
property_type,4,logit_diff,0.3849332301288307,102
