feature,target,mean_pos,mean_neg,pct_positive,pct_negative,net
lot,single_logit,0.22280694676687435,0.0,1.0,0.0,0.22280694676687435
bathrooms,single_logit,0.10529897074875649,-0.0015595441341035938,0.954,0.046,0.1037394266146529
bedrooms,single_logit,0.06630251580312758,-0.002598296290794733,0.928,0.072,0.06370421951233285
year_built,single_logit,0.1797620996936784,-0.0005032830371989372,0.972,0.028,0.17925881665647947
property_type,single_logit,0.4020835936158626,0.0,1.0,0.0,0.4020835936158626
lot,logit_diff,0.0003562215746098442,-0.12786730520101952,0.022,0.978,-0.12751108362640967
bathrooms,logit_diff,0.004802113037565611,-0.1506222866769585,0.068,0.932,-0.14582017363939292
bedrooms,logit_diff,7.3160123039436e-05,-0.14885405391160741,0.002,0.998,-0.14878089378856796
year_built,logit_diff,0.0863989744713756,-0.034731195352411995,0.654,0.346,0.05166777911896361
property_type,logit_diff,0.365504380251392,-0.00020387352999818925,0.998,0.002,0.3653005067213938
