group,condition,accuracy,auc,accuracy_drop
correct,baseline,0.5903614457831325,0.6283629270917407,0.0
correct,erase_bedrooms,0.5169769989047097,0.5,0.07338444687842283
correct,erase_bathrooms,0.5169769989047097,0.5,0.07338444687842283
correct,erase_year_built,0.5169769989047097,0.5,0.07338444687842283
correct,erase_lot_size,0.5169769989047097,0.4626186632845229,0.07338444687842283
correct,erase_sqft,0.5169769989047097,0.5,0.07338444687842283
incorrect,baseline,0.5917065390749602,0.6286853404211818,0.0
incorrect,erase_bedrooms,0.5342902711323764,0.5,0.05741626794258381
incorrect,erase_bathrooms,0.5342902711323764,0.5,0.05741626794258381
incorrect,erase_year_built,0.5342902711323764,0.5,0.05741626794258381
incorrect,erase_lot_size,0.5342902711323764,0.5110457984052341,0.05741626794258381
incorrect,erase_sqft,0.5342902711323764,0.5,0.05741626794258381
