zpid_1,zpid_2,zipcode_1,year_month.y_1,zestimate_linear_1,interval_range_linear_1,type_1,yearBuilt_1,bathrooms_1,bedrooms_1,lot_1,lotUnit_1,heating_1,cooling_1,parkingType_1,price.y_1,zipcode_2,year_month.y_2,zestimate_linear_2,interval_range_linear_2,type_2,yearBuilt_2,bathrooms_2,bedrooms_2,lot_2,lotUnit_2,heating_2,cooling_2,parkingType_2,price.y_2,pred_choice,true_choice,correct,price_diff_pct,difficulty,bedrooms_diff,bathrooms_diff,year_diff,lot_diff,bedroom_category,year_category,strat_key
59174008,102987891,2114,2021/3/1,1505238.455,45.54545455,SingleFamily,1804,3,3,1306.0,sqft,"Gas, Forced air",Central,unknown,2525000.0,2114,2021/3/1,1270573.4,12.4,"Condominium, Rowhouse",1899,2,2,871.2,sqft,Forced Air,Central Air,unknown,1087500.0,1,1.0,True,56.930693069306926,easy,1,1,-95,434.79999999999995,p1_slight,p2_newer,easy_p1_slight
59168821,59170929,2116,2022/3/1,2466704.828,19.0,Single Family Residence,1910,3,2,1306.0,sqft,"Hydro Air, Hydronic Floor Heat(Radiant), Natural Gas",Central Air,unknown,2712500.0,2116,2022/3/1,2226055.414,16.68789809,"Condominium, Townhouse",1890,3,3,2178.0,sqft,Forced Air,Central Air,unknown,2225000.0,1,1.0,True,17.972350230414747,hard,-1,0,20,-872.0,p2_more,p1_slight,hard_p2_more
63710012,71505090,2118,2020/4/1,1998504.2,12.8,"Condominium, Rowhouse",1899,3,3,1742.0,sqft,Forced Air,Central Air,unknown,1925000.0,2118,2020/4/1,1804279.091,20.90909091,"Condominium, Rowhouse",1899,3,3,1742.0,sqft,Forced Air,Central Air,unknown,1520000.0,1,1.0,True,21.038961038961038,hard,0,0,0,0.0,equal,similar,hard_equal
59109527,90141612,2122,2021/9/1,954238.9831,14.27118644,Single Family Residence,1900,2,4,4791.0,sqft,"Forced Air, Central, Natural Gas",Central Air,unknown,1029000.0,2122,2021/9/1,841698.3051,13.93220339,"Condominium, Townhouse",2008,3,2,2178.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,840000.0,1,1.0,True,18.367346938775512,hard,2,-1,-108,2613.0,p1_much,p2_newer,hard_p1_much
59111352,59114374,2124,2020/3/1,477811.5556,17.33333333,Single Family Residence,1910,2,4,3920.0,sqft,Forced Air,unknown,unknown,485000.0,2124,2020/3/1,544763.6,12.1,Single Family Residence,1925,1,3,4356.0,sqft,Baseboard,unknown,unknown,585000.0,2,2.0,True,17.094017094017094,hard,1,1,-15,-436.0,p1_slight,similar,hard_p1_slight
59105787,59119241,2124,2021/8/1,823974.2,20.45,Single Family Residence,1885,4,4,5662.0,sqft,Baseboard,Central Air,unknown,1100000.0,2124,2021/8/1,688269.7895,24.21052632,Single Family Residence,1926,2,3,3920.0,sqft,Baseboard,Wall Unit(s),unknown,785000.0,1,1.0,True,28.636363636363637,medium,1,2,-41,1742.0,p1_slight,p2_newer,medium_p1_slight
59150007,2120545827,2127,2019/8/1,1599822.667,35.33333333,Single Family Residence,1890,4,4,1742.0,sqft,Central,Central Air,unknown,1699000.0,2127,2019/8/1,1259517.0,44.82352941,SingleFamily,2012,4,3,1375.0,sqft,"Other, Forced air, Gas",Central,unknown,1171000.0,1,1.0,True,31.07710417892878,medium,1,0,-122,367.0,p1_slight,p2_newer,medium_p1_slight
59149693,117686364,2127,2021/7/1,1513416.8,37.2,Single Family Residence,1890,4,3,1306.0,sqft,Central,Central Air,unknown,1745000.0,2127,2021/7/1,1200465.091,21.0,"Condominium, Rowhouse",1890,3,4,1742.0,sqft,Forced Air,Central Air,unknown,1369000.0,1,1.0,True,21.54727793696275,hard,-1,1,0,-436.0,p2_more,similar,hard_p2_more
59151180,59151558,2127,2021/7/1,873237.1667,15.0,Single Family Residence,1869,2,5,1742.0,sqft,Hot Water,unknown,unknown,800000.0,2127,2021/7/1,905057.8333,12.33333333,SingleFamily,2008,3,3,1306.0,sqft,Forced air,unknown,unknown,1000000.0,2,2.0,True,20.0,hard,2,-1,-139,436.0,p1_much,p2_newer,hard_p1_much
59149738,59152738,2127,2022/4/1,1296322.222,16.22222222,Single Family Residence,1890,4,3,871.2,sqft,Hot Water,Central Air,unknown,1375000.0,2127,2022/4/1,1201614.815,12.77777778,Single Family Residence,2003,3,4,1306.0,sqft,"Forced Air, Central",Central Air,unknown,1675000.0,2,2.0,True,17.91044776119403,hard,-1,1,-113,-434.79999999999995,p2_more,p2_newer,hard_p2_more
59151155,59151610,2127,2022/5/1,896787.5,19.6875,Single Family Residence,1905,2,2,871.2,sqft,Forced Air,Central Air,unknown,970000.0,2127,2022/5/1,1058307.692,23.50549451,Single Family Residence,1890,3,3,1742.0,sqft,"Forced Air, Natural Gas",Ductless,unknown,1475000.0,2,2.0,True,34.23728813559322,medium,-1,-1,15,-870.8,p2_more,p1_slight,medium_p2_more
59101062,59101485,2129,2019/11/1,1658140.0,25.9,Single Family Residence,1900,3,3,871.2,sqft,Forced Air,Central Air,unknown,1390000.0,2129,2019/11/1,1636226.333,18.22222222,Single Family Residence,1854,3,4,1306.0,sqft,"Forced Air, Hydro Air",Central Air,unknown,1755000.0,2,2.0,True,20.7977207977208,hard,-1,0,46,-434.79999999999995,p2_more,p1_much,hard_p2_more
59099615,59100004,2129,2020/10/1,1085260.5,15.5,Single Family Residence,1850,2,4,1306.0,sqft,Baseboard,Central Air,Open Parking,877500.0,2129,2020/10/1,1061431.909,23.0,Single Family Residence,1900,2,3,43560.0,sqft,Baseboard,Ductless,Open Parking,1080000.0,2,2.0,True,18.75,hard,1,0,-50,-42254.0,p1_slight,p2_newer,hard_p1_slight
59100267,59101126,2129,2020/7/1,698358.5,11.9,"Condominium, Rowhouse",1860,2,2,871.2,sqft,Baseboard,Ductless,Open Parking,675000.0,2129,2020/7/1,744645.4,17.2,Single Family Residence,1870,2,2,871.2,sqft,"Baseboard, Natural Gas",Wall Unit(s),Open Parking,850000.0,2,2.0,True,20.588235294117645,hard,0,0,-10,0.0,equal,similar,hard_equal
59100525,59100707,2129,2021/7/1,1018395.174,18.13043478,Single Family Residence,1850,3,3,871.2,sqft,"Forced Air, Natural Gas","Ductless, Central Air",Open Parking,1215000.0,2129,2021/7/1,982610.5263,13.15789474,Single Family Residence,1870,3,2,871.2,sqft,"Forced Air, Natural Gas",Central Air,Open Parking,943000.0,1,1.0,True,22.386831275720166,hard,1,0,-20,0.0,p1_slight,p2_newer,hard_p1_slight
59132868,59135792,2130,2019/10/1,700782.3333,11.66666667,"Condominium, Rowhouse",1905,1,3,1.59,Acres,Hot Water,Window Unit(s),unknown,705000.0,2130,2019/10/1,777121.0,10.0,Single Family Residence,1928,2,4,4791.0,sqft,"Hot Water, Natural Gas",Window Unit(s),unknown,848250.0,2,2.0,True,16.887709991158268,hard,-1,-1,-23,-4789.41,p2_more,p2_newer,hard_p2_more
59134432,59134745,2130,2019/10/1,542333.0,13.33333333,Single Family Residence,1960,1,2,3484.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,467000.0,2130,2019/10/1,564426.3077,11.23076923,Single Family Residence,1920,2,2,3920.0,sqft,"Forced Air, Natural Gas",Window Unit(s),unknown,611000.0,2,2.0,True,23.567921440261866,hard,0,-1,40,-436.0,equal,p1_much,hard_equal
59132841,59133755,2130,2020/11/1,1463713.154,35.84615385,Single Family Residence,1931,4,3,6534.0,sqft,"Hot Water, Natural Gas",Central Air,unknown,1607500.0,2130,2020/11/1,2022884.0,45.0,Single Family Residence,1891,4,7,4356.0,sqft,Forced Air,Central Air,unknown,2150000.0,2,2.0,True,25.232558139534884,medium,-4,0,40,2178.0,p2_more,p1_much,medium_p2_more
59134628,59134807,2130,2020/12/1,1226991.818,21.63636364,Single Family Residence,1964,3,4,6534.0,sqft,"Electric Baseboard, Natural Gas, Baseboard","Dual, Central Air",unknown,1240000.0,2130,2020/12/1,1546105.923,24.92307692,Single Family Residence,1911,4,4,5662.0,sqft,"Hot Water, Electric",Window Unit(s),unknown,1660000.0,2,2.0,True,25.301204819277107,medium,0,-1,53,872.0,equal,p1_much,medium_equal
59135233,59135595,2130,2020/5/1,963173.8182,18.63636364,Single Family Residence,1770,2,3,0.54,Acres,"Forced Air, Natural Gas",Central Air,unknown,825000.0,2130,2020/5/1,1055586.0,18.0,Single Family Residence,1930,4,3,7840.0,sqft,"Hot Water, Electric Baseboard, Natural Gas",Window Unit(s),unknown,1135000.0,2,2.0,True,27.312775330396477,medium,0,-2,-160,-7839.46,equal,p2_newer,medium_equal
59131627,59135060,2130,2020/7/1,1100734.1,13.3,Single Family Residence,1890,4,3,2178.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,1130000.0,2130,2020/7/1,1194162.5,17.2,Single Family Residence,1955,3,3,9583.0,sqft,Central,Central Air,unknown,1910000.0,2,2.0,True,40.83769633507853,easy,0,1,-65,-7405.0,equal,p2_newer,easy_equal
59132401,59132443,2130,2020/8/1,1108852.0,35.0,Single Family Residence,1964,3,5,4791.0,sqft,"Natural Gas, Baseboard","Window Unit(s), 3 or More, Wall Unit(s)",unknown,1100000.0,2130,2020/8/1,1018951.545,13.81818182,Single Family Residence,1925,2,4,3920.0,sqft,"Steam, Oil",Window Unit(s),unknown,892000.0,1,1.0,True,18.90909090909091,hard,1,1,39,871.0,p1_slight,p1_much,hard_p1_slight
59132401,59135592,2130,2020/8/1,1108852.0,35.0,Single Family Residence,1964,3,5,4791.0,sqft,"Natural Gas, Baseboard","Window Unit(s), 3 or More, Wall Unit(s)",unknown,1100000.0,2130,2020/8/1,1026642.0,23.0,Single Family Residence,1926,2,4,0.31,Acres,"Hot Water, Electric, Baseboard",Central Air,unknown,1349000.0,2,2.0,True,18.458117123795404,hard,1,1,38,4790.69,p1_slight,p1_much,hard_p1_slight
59132443,59135218,2130,2020/8/1,1018951.545,13.81818182,Single Family Residence,1925,2,4,3920.0,sqft,"Steam, Oil",Window Unit(s),unknown,892000.0,2130,2020/8/1,1103774.0,16.0,Single Family Residence,1933,2,3,6969.0,sqft,"Natural Gas, Steam",Central Air,unknown,1128500.0,2,2.0,True,20.95702259636686,hard,1,0,-8,-3049.0,p1_slight,similar,hard_p1_slight
59132443,87793317,2130,2020/8/1,1018951.545,13.81818182,Single Family Residence,1925,2,4,3920.0,sqft,"Steam, Oil",Window Unit(s),unknown,892000.0,2130,2020/8/1,1186869.9,31.0,Single Family Residence,2007,3,3,3049.0,sqft,"Forced Air, Natural Gas, Heat Pump, Electric",Central Air,unknown,1251000.0,2,2.0,True,28.697042366107112,medium,1,-1,-82,871.0,p1_slight,p2_newer,medium_p1_slight
59132443,2095211854,2130,2020/8/1,1018951.545,13.81818182,Single Family Residence,1925,2,4,3920.0,sqft,"Steam, Oil",Window Unit(s),unknown,892000.0,2130,2020/8/1,997424.0,13.5,"Condominium, Townhouse",1910,3,4,6098.0,sqft,Forced Air,Central Air,unknown,1125000.0,2,2.0,True,20.711111111111112,hard,0,-1,15,-2178.0,equal,p1_slight,hard_equal
59135190,59210340,2130,2020/9/1,907083.7059,19.41176471,Single Family Residence,1894,3,3,3484.0,sqft,"Hot Water, Oil",Central Air,unknown,1161000.0,2130,2020/9/1,873028.0,14.6,SingleFamily,1880,3,2,4791.0,sqft,"Forced air, Gas",Central,unknown,920000.0,1,1.0,True,20.757967269595177,hard,1,0,14,-1307.0,p1_slight,p1_slight,hard_p1_slight
59135815,87793868,2130,2021/12/1,867102.7972,14.25874126,Single Family Residence,1920,2,3,4791.0,sqft,"Hot Water, Oil",Window Unit(s),unknown,849000.0,2130,2021/12/1,997321.0,21.0,SingleFamily,2006,3,3,2178.0,sqft,Other,Central,unknown,1213000.0,2,2.0,True,30.008244023083265,medium,0,-1,-86,2613.0,equal,p2_newer,medium_equal
59133476,59136153,2130,2021/3/1,732689.1111,14.44444444,Single Family Residence,1870,1,3,2178.0,sqft,"Forced Air, Oil",unknown,unknown,500000.0,2130,2021/3/1,645699.4444,14.44444444,Single Family Residence,1935,1,3,4356.0,sqft,Hot Water,unknown,unknown,665000.0,2,2.0,True,24.81203007518797,hard,0,0,-65,-2178.0,equal,p2_newer,hard_equal
59133476,59136238,2130,2021/3/1,732689.1111,14.44444444,Single Family Residence,1870,1,3,2178.0,sqft,"Forced Air, Oil",unknown,unknown,500000.0,2130,2021/3/1,676778.6154,13.46153846,Single Family Residence,1915,2,3,3484.0,sqft,Oil,unknown,unknown,718000.0,2,2.0,True,30.362116991643457,medium,0,-1,-45,-1306.0,equal,p2_newer,medium_equal
59134121,59136299,2130,2021/8/1,655672.5,13.25,Single Family Residence,1950,1,3,3484.0,sqft,Baseboard,Window Unit(s),unknown,580000.0,2130,2021/8/1,700513.9,14.85,Single Family Residence,1914,2,3,2178.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,700000.0,2,2.0,True,17.142857142857142,hard,0,-1,36,1306.0,equal,p1_much,hard_equal
59135538,60112486,2130,2021/8/1,1014065.042,13.79166667,Single Family Residence,1936,2,3,5227.0,sqft,"Hot Water, Natural Gas",Central Air,unknown,1050000.0,2130,2021/8/1,958097.625,12.125,"Condominium, Townhouse",2000,3,3,2178.0,sqft,Forced Air,Central Air,unknown,817000.0,1,1.0,True,22.19047619047619,hard,0,-1,-64,3049.0,equal,p2_newer,hard_equal
59134987,59135132,2130,2022/4/1,1068425.0,14.91666667,Single Family Residence,1940,3,3,6098.0,sqft,Hot Water,"Window Unit(s), Wall Unit(s)",unknown,1120000.0,2130,2022/4/1,1068613.793,15.0,Single Family Residence,1955,3,3,6098.0,sqft,Other,Central Air,unknown,1360000.0,2,2.0,True,17.647058823529413,hard,0,0,-15,0.0,equal,similar,hard_equal
59135132,59136419,2130,2022/4/1,1068613.793,15.0,Single Family Residence,1955,3,3,6098.0,sqft,Other,Central Air,unknown,1360000.0,2130,2022/4/1,1058861.538,13.53846154,Single Family Residence,1950,2,3,6534.0,sqft,Baseboard,"Whole House Fan, Central Air",unknown,960000.0,1,1.0,True,29.411764705882355,medium,0,1,5,-436.0,equal,p1_slight,medium_equal
