zpid_1,zpid_2,zipcode_1,year_month.y_1,zestimate_linear_1,interval_range_linear_1,type_1,yearBuilt_1,bathrooms_1,bedrooms_1,lot_1,lotUnit_1,heating_1,cooling_1,parkingType_1,price.y_1,zipcode_2,year_month.y_2,zestimate_linear_2,interval_range_linear_2,type_2,yearBuilt_2,bathrooms_2,bedrooms_2,lot_2,lotUnit_2,heating_2,cooling_2,parkingType_2,price.y_2,pred_choice,true_choice,correct,price_diff_pct,difficulty,bedrooms_diff,bathrooms_diff,year_diff,lot_diff,bedroom_category,year_category,strat_key
59211050,123849004,2118,2021/7/1,794236.4,10.8,"Condominium, Rowhouse",1899,1,2,871.2,sqft,Electric Baseboard,Window Unit(s),Open Parking,845000.0,2118,2021/7/1,796444.3846,10.15384615,"Condominium, Rowhouse",1900,1,1,871.2,sqft,Forced Air,Central Air,Open Parking,685000.0,2.0,1.0,False,18.93491124260355,hard,1,0,-1,0.0,p1_slight,similar,hard_p1_slight
59187577,71505006,2119,2020/12/1,476662.3,16.3,Single Family Residence,1900,2,4,3484.0,sqft,"Forced Air, Natural Gas",Window Unit(s),unknown,585000.0,2119,2020/12/1,569144.0714,28.85714286,Single Family Residence,2005,2,3,4791.0,sqft,Forced Air,Window Unit(s),unknown,379186.0,2.0,1.0,False,35.18188034188034,medium,1,0,-105,-1307.0,p1_slight,p2_newer,medium_p1_slight
59111352,59114374,2124,2020/3/1,477811.5556,17.33333333,Single Family Residence,1910,2,4,3920.0,sqft,Forced Air,unknown,unknown,485000.0,2124,2020/3/1,544763.6,12.1,Single Family Residence,1925,1,3,4356.0,sqft,Baseboard,unknown,unknown,585000.0,1.0,2.0,False,17.094017094017094,hard,1,1,-15,-436.0,p1_slight,similar,hard_p1_slight
59112243,59118649,2124,2021/7/1,633383.1429,16.28571429,Single Family Residence,1885,3,4,7405.0,sqft,Oil,Window Unit(s),unknown,665000.0,2124,2021/7/1,743717.3158,16.63157895,Single Family Residence,1935,2,4,3049.0,sqft,Hot Water,Window Unit(s),unknown,825000.0,1.0,2.0,False,19.393939393939394,hard,0,1,-50,4356.0,equal,p2_newer,hard_equal
59112262,59119241,2124,2021/8/1,567705.7193,15.4502924,Single Family Residence,2008,3,5,8276.0,sqft,Oil,Window Unit(s),unknown,505000.0,2124,2021/8/1,688269.7895,24.21052632,Single Family Residence,1926,2,3,3920.0,sqft,Baseboard,Wall Unit(s),unknown,785000.0,1.0,2.0,False,35.6687898089172,medium,2,1,82,4356.0,p1_much,p1_much,medium_p1_much
59103939,59115237,2124,2022/1/1,573072.3404,30.17021277,Single Family Residence,1890,3,5,4791.0,sqft,"Forced Air, Electric Baseboard, Central, Natural Gas",Central Air,unknown,575000.0,2124,2022/1/1,676452.1127,14.21126761,Single Family Residence,1942,2,3,4791.0,sqft,Hot Water,Ductless,unknown,745000.0,1.0,2.0,False,22.818791946308725,hard,2,1,-52,0.0,p1_much,p2_newer,hard_p1_much
59150007,2120545827,2127,2019/8/1,1599822.667,35.33333333,Single Family Residence,1890,4,4,1742.0,sqft,Central,Central Air,unknown,1699000.0,2127,2019/8/1,1259517.0,44.82352941,SingleFamily,2012,4,3,1375.0,sqft,"Other, Forced air, Gas",Central,unknown,1171000.0,2.0,1.0,False,31.07710417892878,medium,1,0,-122,367.0,p1_slight,p2_newer,medium_p1_slight
87796377,190047916,2127,2020/8/1,1532418.4,16.3,Single Family Residence,1920,3,4,3484.0,sqft,"Forced Air, Central, Natural Gas",Central Air,unknown,1499000.0,2127,2020/8/1,1790246.7,37.3,Single Family Residence,1905,4,4,1306.0,sqft,Forced Air,Central Air,unknown,1895000.0,1.0,2.0,False,20.897097625329817,hard,0,-1,15,2178.0,equal,p1_slight,hard_equal
59163035,59211504,2127,2021/7/1,831794.52,12.56,Single Family Residence,2000,3,3,1306.0,sqft,"Baseboard, Natural Gas",Window Unit(s),unknown,687500.0,2127,2021/7/1,934464.6667,13.91666667,"Condominium, Rowhouse",2000,2,3,1306.0,sqft,Forced Air,Central Air,unknown,970000.0,1.0,2.0,False,29.12371134020619,medium,0,1,0,0.0,equal,similar,medium_equal
87793474,117686364,2127,2021/7/1,1010977.8,18.4,Single Family Residence,2005,3,2,1306.0,sqft,Forced Air,Central Air,unknown,1140000.0,2127,2021/7/1,1200465.091,21.0,"Condominium, Rowhouse",1890,3,4,1742.0,sqft,Forced Air,Central Air,unknown,1369000.0,1.0,2.0,False,16.72753834915997,hard,-2,0,115,-436.0,p2_more,p1_much,hard_p2_more
