zpid_1,zpid_2,zipcode_1,year_month.y_1,zestimate_linear_1,interval_range_linear_1,type_1,yearBuilt_1,bathrooms_1,bedrooms_1,lot_1,lotUnit_1,heating_1,cooling_1,parkingType_1,price.y_1,zipcode_2,year_month.y_2,zestimate_linear_2,interval_range_linear_2,type_2,yearBuilt_2,bathrooms_2,bedrooms_2,lot_2,lotUnit_2,heating_2,cooling_2,parkingType_2,price.y_2,pred_choice,true_choice,correct,price_diff_pct,difficulty,bedrooms_diff,bathrooms_diff,year_diff,lot_diff,bedroom_category,year_category,strat_key,sample_group
59174008,102987891,2114,2021/3/1,1505238.455,45.54545455,SingleFamily,1804,3,3,1306.0,sqft,"Gas, Forced air",Central,unknown,2525000.0,2114,2021/3/1,1270573.4,12.4,"Condominium, Rowhouse",1899,2,2,871.2,sqft,Forced Air,Central Air,unknown,1087500.0,1,1.0,True,56.930693069306926,easy,1,1,-95,434.79999999999995,p1_slight,p2_newer,easy_p1_slight,correct
59168821,59170929,2116,2022/3/1,2466704.828,19.0,Single Family Residence,1910,3,2,1306.0,sqft,"Hydro Air, Hydronic Floor Heat(Radiant), Natural Gas",Central Air,unknown,2712500.0,2116,2022/3/1,2226055.414,16.68789809,"Condominium, Townhouse",1890,3,3,2178.0,sqft,Forced Air,Central Air,unknown,2225000.0,1,1.0,True,17.972350230414747,hard,-1,0,20,-872.0,p2_more,p1_slight,hard_p2_more,correct
63710012,71505090,2118,2020/4/1,1998504.2,12.8,"Condominium, Rowhouse",1899,3,3,1742.0,sqft,Forced Air,Central Air,unknown,1925000.0,2118,2020/4/1,1804279.091,20.90909091,"Condominium, Rowhouse",1899,3,3,1742.0,sqft,Forced Air,Central Air,unknown,1520000.0,1,1.0,True,21.038961038961038,hard,0,0,0,0.0,equal,similar,hard_equal,correct
59109527,90141612,2122,2021/9/1,954238.9831,14.27118644,Single Family Residence,1900,2,4,4791.0,sqft,"Forced Air, Central, Natural Gas",Central Air,unknown,1029000.0,2122,2021/9/1,841698.3051,13.93220339,"Condominium, Townhouse",2008,3,2,2178.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,840000.0,1,1.0,True,18.367346938775512,hard,2,-1,-108,2613.0,p1_much,p2_newer,hard_p1_much,correct
59111352,59114374,2124,2020/3/1,477811.5556,17.33333333,Single Family Residence,1910,2,4,3920.0,sqft,Forced Air,unknown,unknown,485000.0,2124,2020/3/1,544763.6,12.1,Single Family Residence,1925,1,3,4356.0,sqft,Baseboard,unknown,unknown,585000.0,2,2.0,True,17.094017094017094,hard,1,1,-15,-436.0,p1_slight,similar,hard_p1_slight,correct
59105787,59119241,2124,2021/8/1,823974.2,20.45,Single Family Residence,1885,4,4,5662.0,sqft,Baseboard,Central Air,unknown,1100000.0,2124,2021/8/1,688269.7895,24.21052632,Single Family Residence,1926,2,3,3920.0,sqft,Baseboard,Wall Unit(s),unknown,785000.0,1,1.0,True,28.636363636363637,medium,1,2,-41,1742.0,p1_slight,p2_newer,medium_p1_slight,correct
59150007,2120545827,2127,2019/8/1,1599822.667,35.33333333,Single Family Residence,1890,4,4,1742.0,sqft,Central,Central Air,unknown,1699000.0,2127,2019/8/1,1259517.0,44.82352941,SingleFamily,2012,4,3,1375.0,sqft,"Other, Forced air, Gas",Central,unknown,1171000.0,1,1.0,True,31.07710417892878,medium,1,0,-122,367.0,p1_slight,p2_newer,medium_p1_slight,correct
59149693,117686364,2127,2021/7/1,1513416.8,37.2,Single Family Residence,1890,4,3,1306.0,sqft,Central,Central Air,unknown,1745000.0,2127,2021/7/1,1200465.091,21.0,"Condominium, Rowhouse",1890,3,4,1742.0,sqft,Forced Air,Central Air,unknown,1369000.0,1,1.0,True,21.54727793696275,hard,-1,1,0,-436.0,p2_more,similar,hard_p2_more,correct
59151180,59151558,2127,2021/7/1,873237.1667,15.0,Single Family Residence,1869,2,5,1742.0,sqft,Hot Water,unknown,unknown,800000.0,2127,2021/7/1,905057.8333,12.33333333,SingleFamily,2008,3,3,1306.0,sqft,Forced air,unknown,unknown,1000000.0,2,2.0,True,20.0,hard,2,-1,-139,436.0,p1_much,p2_newer,hard_p1_much,correct
59149738,59152738,2127,2022/4/1,1296322.222,16.22222222,Single Family Residence,1890,4,3,871.2,sqft,Hot Water,Central Air,unknown,1375000.0,2127,2022/4/1,1201614.815,12.77777778,Single Family Residence,2003,3,4,1306.0,sqft,"Forced Air, Central",Central Air,unknown,1675000.0,2,2.0,True,17.91044776119403,hard,-1,1,-113,-434.79999999999995,p2_more,p2_newer,hard_p2_more,correct
