layer,test_accuracy,test_auc,val_accuracy,train_accuracy,best_C,ci_lower,ci_upper,p_value,is_significant,n_train,n_val,n_test
0,0.5516569200779727,0.5584905373160456,0.5828460038986355,0.6805903648008911,1.0,0.5210895729774071,0.5818388914887488,0.0005178319590296703,True,3591,513,1026
1,0.543859649122807,0.5589928796775876,0.5984405458089669,0.6733500417710944,1.0,0.5132758612004621,0.5741162312708025,0.0027174551462175556,True,3591,513,1026
2,0.5477582846003899,0.5586846241375505,0.5964912280701754,0.6906154274575327,1.0,0.5171817794829413,0.5779784989857689,0.0012215135061231113,True,3591,513,1026
3,0.5692007797270955,0.6100491306052084,0.6179337231968811,0.8150932887774993,100.0,0.5386979758336757,0.599187325620986,5.202792815712781e-06,True,3591,513,1026
4,0.5419103313840156,0.5759887962430881,0.6101364522417154,0.8017265385686438,10.0,0.5113236039892951,0.5721843954832465,0.003965830266179701,True,3591,513,1026
5,0.5350877192982456,0.5609204282088069,0.5906432748538012,0.810359231411863,100.0,0.5044943809921484,0.5654192929848633,0.013301571736631147,True,3591,513,1026
6,0.5428849902534113,0.5678675947314942,0.5984405458089669,0.7936507936507936,10.0,0.5122996741511879,0.573150371820715,0.0032887660579821567,True,3591,513,1026
7,0.5380116959064327,0.5490525899173799,0.5750487329434698,0.7059314954051796,1.0,0.507420491073299,0.5683193224017967,0.008089809715269196,True,3591,513,1026
8,0.5692007797270955,0.5962537437825619,0.5886939571150097,0.8351434140907825,100.0,0.5386979758336757,0.599187325620986,5.202792815712781e-06,True,3591,513,1026
9,0.5194931773879142,0.5337045085226949,0.5672514619883041,0.6438318017265385,0.1,0.48890613477995626,0.5499347952072723,0.11168626377468943,False,3591,513,1026
10,0.5633528265107213,0.5849453322119428,0.5906432748538012,0.8368142578668895,100.0,0.5328242504885982,0.5934087719698949,2.7613760612187178e-05,True,3591,513,1026
11,0.5916179337231969,0.6110423984564388,0.6023391812865497,0.8585352269562796,100.0,0.5612538108145364,0.6212985601254384,2.40045438076331e-09,True,3591,513,1026
12,0.5799220272904484,0.6134741921611757,0.6335282651072125,0.8326371484266221,10.0,0.5494776146143703,0.6097701983332673,1.7057501006261878e-07,True,3591,513,1026
13,0.5916179337231969,0.6123933949590704,0.6276803118908382,0.8401559454191033,10.0,0.5612538108145364,0.6212985601254384,2.40045438076331e-09,True,3591,513,1026
14,0.5877192982456141,0.62003889347678,0.6120857699805068,0.7605123920913395,1.0,0.5573264765685897,0.6174577083739394,1.0584291128851819e-08,True,3591,513,1026
15,0.5896686159844055,0.6247293249964798,0.5964912280701754,0.7630186577554998,1.0,0.5592899009063181,0.6193783770349337,5.080269991095943e-09,True,3591,513,1026
16,0.5721247563352827,0.6042645821995745,0.5867446393762183,0.6886661097187413,0.1,0.5416364436580847,0.6020749972946613,2.1451005931354176e-06,True,3591,513,1026
17,0.5662768031189084,0.6049914563742298,0.6042884990253411,0.6803118908382066,0.1,0.5357605789705814,0.596298582985996,1.2192882657084686e-05,True,3591,513,1026
18,0.594541910331384,0.6142809844388035,0.6198830409356725,0.8944583681425786,100.0,0.5642005884511586,0.6241779219869005,7.569769629035278e-10,True,3591,513,1026
19,0.5994152046783626,0.6230034745346673,0.5964912280701754,0.8880534670008354,100.0,0.5691143277888732,0.628974415145993,1.0218917391701756e-10,True,3591,513,1026
20,0.6003898635477583,0.6266112060402863,0.6101364522417154,0.7769423558897243,1.0,0.5700974434338106,0.6299333460004168,6.765530316161575e-11,True,3591,513,1026
21,0.5964912280701754,0.6196545254577215,0.6042884990253411,0.7822333611807296,1.0,0.5661657169889639,0.6260968864478179,3.4385141735166027e-10,True,3591,513,1026
22,0.6003898635477583,0.6233041188268023,0.6276803118908382,0.7864104706209969,1.0,0.5700974434338106,0.6299333460004168,6.765530316161575e-11,True,3591,513,1026
23,0.5916179337231969,0.6251574576909757,0.6257309941520468,0.7950431634642161,1.0,0.5612538108145364,0.6212985601254384,2.40045438076331e-09,True,3591,513,1026
24,0.6003898635477583,0.6302455769135629,0.6530214424951267,0.7942077415761626,1.0,0.5700974434338106,0.6299333460004168,6.765530316161575e-11,True,3591,513,1026
25,0.5994152046783626,0.6184234061095486,0.6237816764132553,0.9459760512392091,100.0,0.5691143277888732,0.628974415145993,1.0218917391701756e-10,True,3591,513,1026
26,0.6062378167641326,0.6326469256266911,0.6101364522417154,0.8900027847396268,10.0,0.5759987242949789,0.6356843441354172,5.240086271871045e-12,True,3591,513,1026
27,0.6130604288499025,0.6286662429738668,0.6042884990253411,0.9042049568365358,100.0,0.582889190636241,0.642388203289685,2.2081471982492723e-13,True,3591,513,1026
