layer,test_accuracy,test_auc,val_accuracy,train_accuracy,best_C,ci_lower,ci_upper,p_value,is_significant,n_train,n_val,n_test
0,0.5146198830409356,0.5060832898857932,0.5282651072124757,0.6296296296296297,1.0,0.4840408971389909,0.5450898003514306,0.18263922276627675,False,3591,513,1026
1,0.5194931773879142,0.5149732274355042,0.5458089668615984,0.6421609579504316,1.0,0.48890613477995626,0.5499347952072723,0.11168626377468943,False,3591,513,1026
2,0.5048732943469786,0.5090060090802188,0.571150097465887,0.7502088554720133,100.0,0.47431910144433154,0.5353911310524757,0.38937257565495376,False,3591,513,1026
3,0.5224171539961013,0.5176295529533544,0.5789473684210527,0.773322194374826,100.0,0.4918266675912379,0.5528404018940749,0.08001216068937876,False,3591,513,1026
4,0.5185185185185185,0.5283538012474835,0.5828460038986355,0.7415761626287942,10.0,0.48793285561494953,0.5489660278729177,0.12401373209221754,False,3591,513,1026
5,0.5263157894736842,0.5253093020866236,0.6003898635477583,0.7839042049568365,100.0,0.4957223348400109,0.5567129206427476,0.048975581100922094,True,3591,513,1026
6,0.5419103313840156,0.5403529335652227,0.6023391812865497,0.8128654970760234,100.0,0.5113236039892951,0.5721843954832465,0.003965830266179701,True,3591,513,1026
7,0.5175438596491229,0.5260818437486918,0.5984405458089669,0.7516012252854358,10.0,0.4869596922920553,0.5479971446964506,0.13726264753651257,False,3591,513,1026
8,0.5233918128654971,0.5354931517797,0.5769980506822612,0.7507658033973823,10.0,0.49280041039492684,0.5538087055897476,0.071126139994224,False,3591,513,1026
9,0.543859649122807,0.556757075606331,0.5750487329434698,0.797827903091061,100.0,0.5132758612004621,0.5741162312708025,0.0027174551462175556,True,3591,513,1026
10,0.5428849902534113,0.549669100997454,0.5653021442495126,0.7875243664717348,100.0,0.5122996741511879,0.573150371820715,0.0032887660579821567,True,3591,513,1026
11,0.5467836257309941,0.5565040016135845,0.5341130604288499,0.798941798941799,100.0,0.5162051242748744,0.5770131076944744,0.001499995498181358,True,3591,513,1026
12,0.5370370370370371,0.5435077958206638,0.5789473684210527,0.7694235588972431,10.0,0.5064450045037048,0.5673527624720298,0.009582176611264044,True,3591,513,1026
13,0.5633528265107213,0.5655157191297299,0.5886939571150097,0.7724867724867724,10.0,0.5328242504885982,0.5934087719698949,2.7613760612187178e-05,True,3591,513,1026
14,0.5565302144249513,0.5693137318329027,0.5964912280701754,0.7942077415761626,10.0,0.5259769585897291,0.586661738373234,0.0001629897434839201,True,3591,513,1026
15,0.5779727095516569,0.5785994542735254,0.6101364522417154,0.8095238095238095,10.0,0.5475166031254495,0.6078471168234652,3.287403902490532e-07,True,3591,513,1026
16,0.5516569200779727,0.5679284847147114,0.6062378167641326,0.7390698969646338,1.0,0.5210895729774071,0.5818388914887488,0.0005178319590296703,True,3591,513,1026
17,0.5614035087719298,0.5717797761531992,0.5984405458089669,0.8710665552770815,100.0,0.530867290493005,0.5914816389667652,4.6729356877257664e-05,True,3591,513,1026
18,0.5604288499025342,0.5780818894161792,0.6120857699805068,0.8290169869117238,10.0,0.5298889879285834,0.5905178950318256,6.0445725889294373e-05,True,3591,513,1026
19,0.5730994152046783,0.5995589281840704,0.645224171539961,0.7023113338902812,0.1,0.5426161713878628,0.6030373160642446,1.5843749715846623e-06,True,3591,513,1026
20,0.5701754385964912,0.5851946005807382,0.6354775828460039,0.8576998050682261,10.0,0.5396773459818457,0.6001500019721774,3.887178928665337e-06,True,3591,513,1026
21,0.5662768031189084,0.5910210108498338,0.6296296296296297,0.7794486215538847,1.0,0.5357605789705814,0.596298582985996,1.2192882657084686e-05,True,3591,513,1026
22,0.5701754385964912,0.5863591215097672,0.6042884990253411,0.7106655527708159,0.1,0.5396773459818457,0.6001500019721774,3.887178928665337e-06,True,3591,513,1026
23,0.5818713450292398,0.6058895836266834,0.621832358674464,0.7106655527708159,0.1,0.5514391067589923,0.611692799187368,8.714547039720117e-08,True,3591,513,1026
24,0.543859649122807,0.5707674801822133,0.6120857699805068,0.63213589529379,0.01,0.5132758612004621,0.5741162312708025,0.0027174551462175556,True,3591,513,1026
25,0.571150097465887,0.5952795040510866,0.6198830409356725,0.771651350598719,1.0,0.5406568352232846,0.6011125592301001,2.8931595473406106e-06,True,3591,513,1026
26,0.5740740740740741,0.5952471562475026,0.6198830409356725,0.7738791423001949,1.0,0.5435960185157652,0.6039995154357037,1.1657379854268734e-06,True,3591,513,1026
27,0.5672514619883041,0.5967789198878102,0.6101364522417154,0.7708159287106655,1.0,0.5367395924243539,0.5972616160315851,9.214461362510638e-06,True,3591,513,1026
28,0.5653021442495126,0.5801711769653193,0.6179337231968811,0.7014759120022278,0.1,0.5347816842248249,0.595335431232391,1.607284402961246e-05,True,3591,513,1026
29,0.5692007797270955,0.5783254493490481,0.6257309941520468,0.7070453912559176,0.1,0.5386979758336757,0.599187325620986,5.202792815712781e-06,True,3591,513,1026
30,0.5838206627680312,0.5929885184325396,0.6159844054580896,0.9114452798663325,100.0,0.5534010804906624,0.6136149184544208,4.383528349223857e-08,True,3591,513,1026
31,0.5760233918128655,0.5979434408168391,0.6374269005847953,0.7747145641882484,1.0,0.5455560713862161,0.6059235555639758,6.23843360997635e-07,True,3591,513,1026
32,0.5721247563352827,0.5838778546936664,0.621832358674464,0.8499025341130604,10.0,0.5416364436580847,0.6020749972946613,2.1451005931354176e-06,True,3591,513,1026
33,0.5662768031189084,0.5852212399483957,0.6276803118908382,0.7039821776663882,0.1,0.5357605789705814,0.596298582985996,1.2192882657084686e-05,True,3591,513,1026
34,0.5857699805068226,0.6039791604032438,0.6335282651072125,0.7677527151211362,1.0,0.5553635367662908,0.6155365551775152,2.170876697027378e-08,True,3591,513,1026
35,0.5672514619883041,0.5963431759454121,0.6198830409356725,0.8512949039264829,10.0,0.5367395924243539,0.5972616160315851,9.214461362510638e-06,True,3591,513,1026
