group,method,condition,accuracy,auc,accuracy_drop
correct,mp,baseline,0.6133625410733844,0.6347822747868828,0.0
correct,mp,erase_bedrooms,0.6144578313253012,0.6211600491513709,-0.0010952902519167917
correct,mp,erase_bathrooms,0.5991237677984665,0.6234832194147915,0.014238773274917849
correct,mp,erase_year_built,0.6111719605695509,0.6218608401812457,0.0021905805038334725
correct,mp,erase_lot_size,0.6111719605695509,0.6346814760771062,0.0021905805038334725
correct,mp,erase_sqft,0.6111719605695509,0.6351038706704554,0.0021905805038334725
incorrect,mp,baseline,0.6076555023923444,0.6310009638455386,0.0
incorrect,mp,erase_bedrooms,0.5869218500797448,0.6134261632795357,0.020733652312599604
incorrect,mp,erase_bathrooms,0.5996810207336523,0.6167073395812399,0.00797448165869219
incorrect,mp,erase_year_built,0.5980861244019139,0.627104566987265,0.009569377990430561
incorrect,mp,erase_lot_size,0.5996810207336523,0.6319443020322786,0.00797448165869219
incorrect,mp,erase_sqft,0.5996810207336523,0.6319135410044501,0.00797448165869219
