zpid_1,zpid_2,zipcode_1,year_month.y_1,zestimate_linear_1,interval_range_linear_1,type_1,yearBuilt_1,bathrooms_1,bedrooms_1,lot_1,lotUnit_1,heating_1,cooling_1,parkingType_1,price.y_1,zipcode_2,year_month.y_2,zestimate_linear_2,interval_range_linear_2,type_2,yearBuilt_2,bathrooms_2,bedrooms_2,lot_2,lotUnit_2,heating_2,cooling_2,parkingType_2,price.y_2
59174008,102987891,2114,2021/3/1,1505238.455,45.54545455,SingleFamily,1804,3,3,1306.0,sqft,"Gas, Forced air",Central,unknown,2525000.0,2114,2021/3/1,1270573.4,12.4,"Condominium, Rowhouse",1899,2,2,871.2,sqft,Forced Air,Central Air,unknown,1087500.0
59168821,59170929,2116,2022/3/1,2466704.828,19.0,Single Family Residence,1910,3,2,1306.0,sqft,"Hydro Air, Hydronic Floor Heat(Radiant), Natural Gas",Central Air,unknown,2712500.0,2116,2022/3/1,2226055.414,16.68789809,"Condominium, Townhouse",1890,3,3,2178.0,sqft,Forced Air,Central Air,unknown,2225000.0
63710012,71505090,2118,2020/4/1,1998504.2,12.8,"Condominium, Rowhouse",1899,3,3,1742.0,sqft,Forced Air,Central Air,unknown,1925000.0,2118,2020/4/1,1804279.091,20.90909091,"Condominium, Rowhouse",1899,3,3,1742.0,sqft,Forced Air,Central Air,unknown,1520000.0
59211050,123849004,2118,2021/7/1,794236.4,10.8,"Condominium, Rowhouse",1899,1,2,871.2,sqft,Electric Baseboard,Window Unit(s),Open Parking,845000.0,2118,2021/7/1,796444.3846,10.15384615,"Condominium, Rowhouse",1900,1,1,871.2,sqft,Forced Air,Central Air,Open Parking,685000.0
59187577,71505006,2119,2020/12/1,476662.3,16.3,Single Family Residence,1900,2,4,3484.0,sqft,"Forced Air, Natural Gas",Window Unit(s),unknown,585000.0,2119,2020/12/1,569144.0714,28.85714286,Single Family Residence,2005,2,3,4791.0,sqft,Forced Air,Window Unit(s),unknown,379186.0
59109527,90141612,2122,2021/9/1,954238.9831,14.27118644,Single Family Residence,1900,2,4,4791.0,sqft,"Forced Air, Central, Natural Gas",Central Air,unknown,1029000.0,2122,2021/9/1,841698.3051,13.93220339,"Condominium, Townhouse",2008,3,2,2178.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,840000.0
59111352,59114374,2124,2020/3/1,477811.5556,17.33333333,Single Family Residence,1910,2,4,3920.0,sqft,Forced Air,unknown,unknown,485000.0,2124,2020/3/1,544763.6,12.1,Single Family Residence,1925,1,3,4356.0,sqft,Baseboard,unknown,unknown,585000.0
59112243,59118649,2124,2021/7/1,633383.1429,16.28571429,Single Family Residence,1885,3,4,7405.0,sqft,Oil,Window Unit(s),unknown,665000.0,2124,2021/7/1,743717.3158,16.63157895,Single Family Residence,1935,2,4,3049.0,sqft,Hot Water,Window Unit(s),unknown,825000.0
59105787,59119241,2124,2021/8/1,823974.2,20.45,Single Family Residence,1885,4,4,5662.0,sqft,Baseboard,Central Air,unknown,1100000.0,2124,2021/8/1,688269.7895,24.21052632,Single Family Residence,1926,2,3,3920.0,sqft,Baseboard,Wall Unit(s),unknown,785000.0
59112262,59119241,2124,2021/8/1,567705.7193,15.4502924,Single Family Residence,2008,3,5,8276.0,sqft,Oil,Window Unit(s),unknown,505000.0,2124,2021/8/1,688269.7895,24.21052632,Single Family Residence,1926,2,3,3920.0,sqft,Baseboard,Wall Unit(s),unknown,785000.0
59103939,59115237,2124,2022/1/1,573072.3404,30.17021277,Single Family Residence,1890,3,5,4791.0,sqft,"Forced Air, Electric Baseboard, Central, Natural Gas",Central Air,unknown,575000.0,2124,2022/1/1,676452.1127,14.21126761,Single Family Residence,1942,2,3,4791.0,sqft,Hot Water,Ductless,unknown,745000.0
59150007,2120545827,2127,2019/8/1,1599822.667,35.33333333,Single Family Residence,1890,4,4,1742.0,sqft,Central,Central Air,unknown,1699000.0,2127,2019/8/1,1259517.0,44.82352941,SingleFamily,2012,4,3,1375.0,sqft,"Other, Forced air, Gas",Central,unknown,1171000.0
87796377,190047916,2127,2020/8/1,1532418.4,16.3,Single Family Residence,1920,3,4,3484.0,sqft,"Forced Air, Central, Natural Gas",Central Air,unknown,1499000.0,2127,2020/8/1,1790246.7,37.3,Single Family Residence,1905,4,4,1306.0,sqft,Forced Air,Central Air,unknown,1895000.0
59149693,117686364,2127,2021/7/1,1513416.8,37.2,Single Family Residence,1890,4,3,1306.0,sqft,Central,Central Air,unknown,1745000.0,2127,2021/7/1,1200465.091,21.0,"Condominium, Rowhouse",1890,3,4,1742.0,sqft,Forced Air,Central Air,unknown,1369000.0
59151180,59151558,2127,2021/7/1,873237.1667,15.0,Single Family Residence,1869,2,5,1742.0,sqft,Hot Water,unknown,unknown,800000.0,2127,2021/7/1,905057.8333,12.33333333,SingleFamily,2008,3,3,1306.0,sqft,Forced air,unknown,unknown,1000000.0
59163035,59211504,2127,2021/7/1,831794.52,12.56,Single Family Residence,2000,3,3,1306.0,sqft,"Baseboard, Natural Gas",Window Unit(s),unknown,687500.0,2127,2021/7/1,934464.6667,13.91666667,"Condominium, Rowhouse",2000,2,3,1306.0,sqft,Forced Air,Central Air,unknown,970000.0
87793474,117686364,2127,2021/7/1,1010977.8,18.4,Single Family Residence,2005,3,2,1306.0,sqft,Forced Air,Central Air,unknown,1140000.0,2127,2021/7/1,1200465.091,21.0,"Condominium, Rowhouse",1890,3,4,1742.0,sqft,Forced Air,Central Air,unknown,1369000.0
117686364,118325134,2127,2021/7/1,1200465.091,21.0,"Condominium, Rowhouse",1890,3,4,1742.0,sqft,Forced Air,Central Air,unknown,1369000.0,2127,2021/7/1,1087536.87,15.56521739,"Condominium, Townhouse",2011,3,2,1306.0,sqft,Forced Air,Central Air,unknown,1079000.0
59148930,59150813,2127,2021/8/1,1029817.857,19.28571429,Single Family Residence,1880,3,3,1742.0,sqft,Other,Other,unknown,950000.0,2127,2021/8/1,943758.2222,17.44444444,Single Family Residence,1900,2,3,1742.0,sqft,Forced Air,Central Air,unknown,735000.0
59149738,59152738,2127,2022/4/1,1296322.222,16.22222222,Single Family Residence,1890,4,3,871.2,sqft,Hot Water,Central Air,unknown,1375000.0,2127,2022/4/1,1201614.815,12.77777778,Single Family Residence,2003,3,4,1306.0,sqft,"Forced Air, Central",Central Air,unknown,1675000.0
59151155,59151610,2127,2022/5/1,896787.5,19.6875,Single Family Residence,1905,2,2,871.2,sqft,Forced Air,Central Air,unknown,970000.0,2127,2022/5/1,1058307.692,23.50549451,Single Family Residence,1890,3,3,1742.0,sqft,"Forced Air, Natural Gas",Ductless,unknown,1475000.0
59122039,59122794,2128,2020/11/1,531154.9231,12.23076923,Single Family Residence,1900,2,2,2613.0,sqft,Baseboard,Other,unknown,455000.0,2128,2020/11/1,563598.0,13.0,Single Family Residence,1910,1,2,1306.0,sqft,Baseboard,"Central Air, Ductless",unknown,605000.0
59123471,102988148,2128,2020/7/1,476953.0,11.66666667,Single Family Residence,1900,1,2,1742.0,sqft,Oil,Window Unit(s),Open Parking,400000.0,2128,2020/7/1,495858.0968,10.01612903,"Condominium, Rowhouse",1865,2,1,871.2,sqft,Baseboard,Central Air,Open Parking,500000.0
59101062,59101485,2129,2019/11/1,1658140.0,25.9,Single Family Residence,1900,3,3,871.2,sqft,Forced Air,Central Air,unknown,1390000.0,2129,2019/11/1,1636226.333,18.22222222,Single Family Residence,1854,3,4,1306.0,sqft,"Forced Air, Hydro Air",Central Air,unknown,1755000.0
59099615,59100004,2129,2020/10/1,1085260.5,15.5,Single Family Residence,1850,2,4,1306.0,sqft,Baseboard,Central Air,Open Parking,877500.0,2129,2020/10/1,1061431.909,23.0,Single Family Residence,1900,2,3,43560.0,sqft,Baseboard,Ductless,Open Parking,1080000.0
59100267,59101126,2129,2020/7/1,698358.5,11.9,"Condominium, Rowhouse",1860,2,2,871.2,sqft,Baseboard,Ductless,Open Parking,675000.0,2129,2020/7/1,744645.4,17.2,Single Family Residence,1870,2,2,871.2,sqft,"Baseboard, Natural Gas",Wall Unit(s),Open Parking,850000.0
59100525,59100707,2129,2021/7/1,1018395.174,18.13043478,Single Family Residence,1850,3,3,871.2,sqft,"Forced Air, Natural Gas","Ductless, Central Air",Open Parking,1215000.0,2129,2021/7/1,982610.5263,13.15789474,Single Family Residence,1870,3,2,871.2,sqft,"Forced Air, Natural Gas",Central Air,Open Parking,943000.0
59132028,59134432,2130,2019/10/1,589636.3846,14.84615385,Single Family Residence,1905,2,2,1742.0,sqft,Central,Central Air,unknown,650000.0,2130,2019/10/1,542333.0,13.33333333,Single Family Residence,1960,1,2,3484.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,467000.0
59132868,59135792,2130,2019/10/1,700782.3333,11.66666667,"Condominium, Rowhouse",1905,1,3,1.59,Acres,Hot Water,Window Unit(s),unknown,705000.0,2130,2019/10/1,777121.0,10.0,Single Family Residence,1928,2,4,4791.0,sqft,"Hot Water, Natural Gas",Window Unit(s),unknown,848250.0
59134432,59134745,2130,2019/10/1,542333.0,13.33333333,Single Family Residence,1960,1,2,3484.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,467000.0,2130,2019/10/1,564426.3077,11.23076923,Single Family Residence,1920,2,2,3920.0,sqft,"Forced Air, Natural Gas",Window Unit(s),unknown,611000.0
59134667,59134838,2130,2019/11/1,1582275.333,15.0,Single Family Residence,1958,4,5,6969.0,sqft,"Central, Natural Gas",Central Air,unknown,1680000.0,2130,2019/11/1,1802076.667,23.22222222,Single Family Residence,1860,2,2,0.29,Acres,Baseboard,Window Unit(s),unknown,2250000.0
59132284,59135616,2130,2019/12/1,919153.5891,11.3255814,Single Family Residence,1890,2,3,4356.0,sqft,"Forced Air, Natural Gas, Electric, Heat Pump, Central",Central Air,unknown,1000000.0,2130,2019/12/1,903615.0,14.33333333,Single Family Residence,1920,2,4,8276.0,sqft,"Oil, Steam","Window Unit(s), Wall Unit(s)",unknown,809000.0
59132504,59135694,2130,2020/10/1,999903.3333,15.33333333,Single Family Residence,1885,2,4,4791.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,1250000.0,2130,2020/10/1,880727.6667,12.5,Single Family Residence,1939,2,3,4791.0,sqft,Forced Air,Central Air,unknown,910000.0
59132841,59133755,2130,2020/11/1,1463713.154,35.84615385,Single Family Residence,1931,4,3,6534.0,sqft,"Hot Water, Natural Gas",Central Air,unknown,1607500.0,2130,2020/11/1,2022884.0,45.0,Single Family Residence,1891,4,7,4356.0,sqft,Forced Air,Central Air,unknown,2150000.0
59134628,59134807,2130,2020/12/1,1226991.818,21.63636364,Single Family Residence,1964,3,4,6534.0,sqft,"Electric Baseboard, Natural Gas, Baseboard","Dual, Central Air",unknown,1240000.0,2130,2020/12/1,1546105.923,24.92307692,Single Family Residence,1911,4,4,5662.0,sqft,"Hot Water, Electric",Window Unit(s),unknown,1660000.0
59135233,59135595,2130,2020/5/1,963173.8182,18.63636364,Single Family Residence,1770,2,3,0.54,Acres,"Forced Air, Natural Gas",Central Air,unknown,825000.0,2130,2020/5/1,1055586.0,18.0,Single Family Residence,1930,4,3,7840.0,sqft,"Hot Water, Electric Baseboard, Natural Gas",Window Unit(s),unknown,1135000.0
59131627,59135060,2130,2020/7/1,1100734.1,13.3,Single Family Residence,1890,4,3,2178.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,1130000.0,2130,2020/7/1,1194162.5,17.2,Single Family Residence,1955,3,3,9583.0,sqft,Central,Central Air,unknown,1910000.0
59135060,59135598,2130,2020/7/1,1194162.5,17.2,Single Family Residence,1955,3,3,9583.0,sqft,Central,Central Air,unknown,1910000.0,2130,2020/7/1,1380559.3,12.7,Single Family Residence,1880,4,5,10454.0,sqft,"Hot Water, Electric Baseboard, Natural Gas",Window Unit(s),unknown,1450000.0
59132401,59132443,2130,2020/8/1,1108852.0,35.0,Single Family Residence,1964,3,5,4791.0,sqft,"Natural Gas, Baseboard","Window Unit(s), 3 or More, Wall Unit(s)",unknown,1100000.0,2130,2020/8/1,1018951.545,13.81818182,Single Family Residence,1925,2,4,3920.0,sqft,"Steam, Oil",Window Unit(s),unknown,892000.0
59132401,59135592,2130,2020/8/1,1108852.0,35.0,Single Family Residence,1964,3,5,4791.0,sqft,"Natural Gas, Baseboard","Window Unit(s), 3 or More, Wall Unit(s)",unknown,1100000.0,2130,2020/8/1,1026642.0,23.0,Single Family Residence,1926,2,4,0.31,Acres,"Hot Water, Electric, Baseboard",Central Air,unknown,1349000.0
59132443,59135218,2130,2020/8/1,1018951.545,13.81818182,Single Family Residence,1925,2,4,3920.0,sqft,"Steam, Oil",Window Unit(s),unknown,892000.0,2130,2020/8/1,1103774.0,16.0,Single Family Residence,1933,2,3,6969.0,sqft,"Natural Gas, Steam",Central Air,unknown,1128500.0
59132443,87793317,2130,2020/8/1,1018951.545,13.81818182,Single Family Residence,1925,2,4,3920.0,sqft,"Steam, Oil",Window Unit(s),unknown,892000.0,2130,2020/8/1,1186869.9,31.0,Single Family Residence,2007,3,3,3049.0,sqft,"Forced Air, Natural Gas, Heat Pump, Electric",Central Air,unknown,1251000.0
59132443,2095211854,2130,2020/8/1,1018951.545,13.81818182,Single Family Residence,1925,2,4,3920.0,sqft,"Steam, Oil",Window Unit(s),unknown,892000.0,2130,2020/8/1,997424.0,13.5,"Condominium, Townhouse",1910,3,4,6098.0,sqft,Forced Air,Central Air,unknown,1125000.0
59135190,59210340,2130,2020/9/1,907083.7059,19.41176471,Single Family Residence,1894,3,3,3484.0,sqft,"Hot Water, Oil",Central Air,unknown,1161000.0,2130,2020/9/1,873028.0,14.6,SingleFamily,1880,3,2,4791.0,sqft,"Forced air, Gas",Central,unknown,920000.0
59135815,87793868,2130,2021/12/1,867102.7972,14.25874126,Single Family Residence,1920,2,3,4791.0,sqft,"Hot Water, Oil",Window Unit(s),unknown,849000.0,2130,2021/12/1,997321.0,21.0,SingleFamily,2006,3,3,2178.0,sqft,Other,Central,unknown,1213000.0
59133476,59136153,2130,2021/3/1,732689.1111,14.44444444,Single Family Residence,1870,1,3,2178.0,sqft,"Forced Air, Oil",unknown,unknown,500000.0,2130,2021/3/1,645699.4444,14.44444444,Single Family Residence,1935,1,3,4356.0,sqft,Hot Water,unknown,unknown,665000.0
59133476,59136238,2130,2021/3/1,732689.1111,14.44444444,Single Family Residence,1870,1,3,2178.0,sqft,"Forced Air, Oil",unknown,unknown,500000.0,2130,2021/3/1,676778.6154,13.46153846,Single Family Residence,1915,2,3,3484.0,sqft,Oil,unknown,unknown,718000.0
59135083,59136414,2130,2021/5/1,1277905.0,26.0,Single Family Residence,1960,3,4,8276.0,sqft,"Baseboard, Natural Gas",Central Air,unknown,1550000.0,2130,2021/5/1,1049411.0,22.0,Single Family Residence,1952,2,3,9147.0,sqft,"Hot Water, Natural Gas",Central Air,unknown,1232000.0
59134121,59136299,2130,2021/8/1,655672.5,13.25,Single Family Residence,1950,1,3,3484.0,sqft,Baseboard,Window Unit(s),unknown,580000.0,2130,2021/8/1,700513.9,14.85,Single Family Residence,1914,2,3,2178.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,700000.0
59135538,60112486,2130,2021/8/1,1014065.042,13.79166667,Single Family Residence,1936,2,3,5227.0,sqft,"Hot Water, Natural Gas",Central Air,unknown,1050000.0,2130,2021/8/1,958097.625,12.125,"Condominium, Townhouse",2000,3,3,2178.0,sqft,Forced Air,Central Air,unknown,817000.0
59135538,71333006,2130,2021/8/1,1014065.042,13.79166667,Single Family Residence,1936,2,3,5227.0,sqft,"Hot Water, Natural Gas",Central Air,unknown,1050000.0,2130,2021/8/1,949830.6667,14.66666667,SingleFamily,1875,4,4,2178.0,sqft,"Forced air, Gas",Central,unknown,840000.0
59134044,59136430,2130,2021/9/1,1096018.644,12.6440678,Single Family Residence,1900,3,4,4356.0,sqft,"Forced Air, Central, Natural Gas",Central Air,unknown,1127375.0,2130,2021/9/1,1147787.222,15.55555556,Single Family Residence,1952,3,3,8276.0,sqft,Natural Gas,Central Air,unknown,900000.0
59134987,59135132,2130,2022/4/1,1068425.0,14.91666667,Single Family Residence,1940,3,3,6098.0,sqft,Hot Water,"Window Unit(s), Wall Unit(s)",unknown,1120000.0,2130,2022/4/1,1068613.793,15.0,Single Family Residence,1955,3,3,6098.0,sqft,Other,Central Air,unknown,1360000.0
