layer,bathrooms_p1_more,bedrooms_p1_more,lot_p1_larger,price_p1_higher,year_p1_newer
0,0.6578947368421053,0.6861598440545809,0.6042884990253411,0.5116959064327485,0.5536062378167641
1,0.682261208576998,0.6627680311890838,0.6198830409356725,0.5331384015594542,0.5740740740740741
2,0.6851851851851852,0.6861598440545809,0.6033138401559455,0.5126705653021443,0.5604288499025342
3,0.6861598440545809,0.6939571150097466,0.6471734892787524,0.5155945419103314,0.5925925925925926
4,0.6978557504873294,0.682261208576998,0.645224171539961,0.5194931773879142,0.6062378167641326
5,0.7115009746588694,0.7046783625730995,0.6481481481481481,0.5311890838206628,0.6042884990253411
6,0.695906432748538,0.695906432748538,0.5847953216374269,0.543859649122807,0.6052631578947368
7,0.6978557504873294,0.6793372319688109,0.6442495126705653,0.5341130604288499,0.6111111111111112
8,0.6842105263157895,0.6998050682261209,0.6286549707602339,0.5214424951267057,0.6159844054580896
9,0.6773879142300195,0.6900584795321637,0.6432748538011696,0.5146198830409356,0.6296296296296297
10,0.7719298245614035,0.6920077972709552,0.6569200779727096,0.5458089668615984,0.6890838206627681
11,0.7563352826510721,0.695906432748538,0.6569200779727096,0.5458089668615984,0.6900584795321637
12,0.7875243664717348,0.7368421052631579,0.6257309941520468,0.5360623781676414,0.7212475633528265
13,0.783625730994152,0.746588693957115,0.6432748538011696,0.5536062378167641,0.7076023391812866
14,0.8138401559454191,0.767056530214425,0.7319688109161794,0.550682261208577,0.7758284600389863
15,0.8118908382066277,0.7816764132553606,0.7524366471734892,0.5886939571150097,0.8157894736842105
16,0.8401559454191033,0.8216374269005848,0.7875243664717348,0.5516569200779727,0.8586744639376218
17,0.8664717348927875,0.8323586744639376,0.8265107212475633,0.5623781676413255,0.878167641325536
18,0.8615984405458089,0.8859649122807017,0.8732943469785575,0.5594541910331384,0.8937621832358674
19,0.8859649122807017,0.919103313840156,0.8859649122807017,0.5721247563352827,0.9346978557504874
20,0.8927875243664717,0.9132553606237817,0.8791423001949318,0.5701754385964912,0.9181286549707602
21,0.905458089668616,0.9103313840155945,0.8615984405458089,0.5653021442495126,0.942495126705653
22,0.8898635477582846,0.928849902534113,0.8742690058479532,0.5692007797270955,0.9366471734892787
23,0.8888888888888888,0.9210526315789473,0.884990253411306,0.5818713450292398,0.949317738791423
24,0.8859649122807017,0.9083820662768031,0.8703703703703703,0.5828460038986355,0.9298245614035088
25,0.8654970760233918,0.9083820662768031,0.868421052631579,0.5721247563352827,0.9230019493177388
26,0.8557504873294347,0.9044834307992202,0.8703703703703703,0.5760233918128655,0.905458089668616
27,0.8615984405458089,0.9044834307992202,0.8538011695906432,0.5672514619883041,0.9122807017543859
28,0.8538011695906432,0.9025341130604289,0.8606237816764133,0.5672514619883041,0.905458089668616
29,0.8333333333333334,0.8918128654970761,0.8411306042884991,0.5662768031189084,0.9093567251461988
30,0.847953216374269,0.8918128654970761,0.8411306042884991,0.5857699805068226,0.898635477582846
31,0.8518518518518519,0.884990253411306,0.8450292397660819,0.5779727095516569,0.9035087719298246
32,0.8557504873294347,0.8976608187134503,0.8576998050682261,0.5662768031189084,0.8996101364522417
33,0.8430799220272904,0.9083820662768031,0.847953216374269,0.5653021442495126,0.8859649122807017
34,0.8567251461988304,0.8927875243664717,0.8352826510721247,0.5857699805068226,0.8830409356725146
35,0.8576998050682261,0.9015594541910331,0.8460038986354775,0.5682261208576999,0.8888888888888888
