layer,feature,test_accuracy,test_auc,test_n_samples,val_accuracy,val_auc,train_accuracy,cv_mean,cv_std,accuracy_ci_lower,accuracy_ci_upper,p_value,is_significant,best_C,n_train,n_val,n_test
0,bathrooms_p1_more,0.7037037037037037,0.6805434238005081,1026,0.7198443579766537,0.698502886002886,0.8465181058495822,0.7237354085603113,0.009624398235833888,0.6750452807689468,0.7308424375975927,3.93104492010657e-40,True,100.0,3590,514,1026
1,bathrooms_p1_more,0.7251461988304093,0.6887196108773439,1026,0.7101167315175098,0.7035353535353535,0.8520891364902506,0.7178988326848249,0.007755032907329071,0.6970271175405007,0.75158562381199,6.4734100247675425e-49,True,100.0,3590,514,1026
2,bathrooms_p1_more,0.7105263157894737,0.6890920619155513,1026,0.7140077821011673,0.7125721500721501,0.8387186629526462,0.7120622568093385,0.005228442119519182,0.6820313102668706,0.7374507335951989,8.08853924444043e-43,True,10.0,3590,514,1026
3,bathrooms_p1_more,0.7192982456140351,0.7322609108201461,1026,0.7198443579766537,0.7368686868686869,0.8924791086350975,0.7159533073929961,0.007365639877821394,0.691024512760326,0.7459359495959964,2.0231595746096435e-46,True,100.0,3590,514,1026
4,bathrooms_p1_more,0.702729044834308,0.6976761715580426,1026,0.7490272373540856,0.7447871572871574,0.8654596100278552,0.72568093385214,0.011695647728191594,0.6740478865037363,0.7298977853634416,9.336999020883215e-40,True,10.0,3590,514,1026
5,bathrooms_p1_more,0.7134502923976608,0.6900231895110693,1026,0.7178988326848249,0.7090187590187591,0.856824512534819,0.7062256809338522,0.0035520269617715433,0.6850276348586996,0.7402805485014542,5.319025874480454e-44,True,10.0,3590,514,1026
6,bathrooms_p1_more,0.7270955165692008,0.753565996993788,1026,0.7568093385214008,0.7529040404040406,0.9136490250696379,0.7431906614785992,0.017608526565999327,0.6990292775877134,0.7534675567635005,9.175768064996014e-50,True,100.0,3590,514,1026
7,bathrooms_p1_more,0.7602339181286549,0.7854282965242336,1026,0.7684824902723736,0.7875901875901875,0.911142061281337,0.7626459143968871,0.027592109467580818,0.7331697803637842,0.7853566349657182,1.6040287591468818e-65,True,100.0,3590,514,1026
8,bathrooms_p1_more,0.7690058479532164,0.7936776436264316,1026,0.7723735408560312,0.8324494949494949,0.9626740947075209,0.7645914396887159,0.029711313071219998,0.7422417004503136,0.7937631333734417,3.9462025512946533e-70,True,100.0,3590,514,1026
9,bathrooms_p1_more,0.7738791423001949,0.7895917670584792,1026,0.7937743190661478,0.8313311688311689,0.922841225626741,0.7879377431906615,0.03928831923325774,0.7472883582200249,0.7984267081005376,8.970986816728718e-73,True,10.0,3590,514,1026
10,bathrooms_p1_more,0.7758284600389863,0.8155657930325051,1026,0.8054474708171206,0.8278499278499278,0.9657381615598886,0.791828793774319,0.039099196614741524,0.7493083937097387,0.8002907656095466,7.562870158542894e-74,True,100.0,3590,514,1026
11,bathrooms_p1_more,0.8157894736842105,0.8599983151024462,1026,0.830739299610895,0.8581168831168832,0.9454038997214484,0.8210116731517509,0.053226109683794036,0.7909062022717818,0.8383168635213224,4.2206573451161016e-98,True,10.0,3590,514,1026
12,bathrooms_p1_more,0.8742690058479532,0.9234568777074752,1026,0.8832684824902723,0.9255591630591631,0.9991643454038998,0.8813229571984436,0.07551225594047349,0.8525757168258955,0.8931701389288945,2.001113895502346e-142,True,100.0,3590,514,1026
13,bathrooms_p1_more,0.8869395711500975,0.934368806338762,1026,0.8715953307392996,0.9266233766233767,0.9983286908077994,0.8638132295719845,0.06914526320007394,0.8661020574865428,0.904890402759946,1.0693065423761106e-153,True,100.0,3590,514,1026
