layer,feature,test_accuracy,test_auc,test_n_samples,val_accuracy,val_auc,train_accuracy,cv_mean,cv_std,accuracy_ci_lower,accuracy_ci_upper,p_value,is_significant,best_C,n_train,n_val,n_test
0,bathrooms_p1_more,0.6890838206627681,0.48221102898467183,1026,0.7003891050583657,0.5075577200577202,0.7005571030640668,0.7003891050583657,0.004721212638962706,0.6601000527826486,0.7166569680934693,1.0475923541644207e-34,True,0.001,3590,514,1026
1,bathrooms_p1_more,0.682261208576998,0.5281843455281489,1026,0.7042801556420234,0.5937770562770563,0.7108635097493036,0.7023346303501945,0.003059008149175282,0.6531369035781898,0.710025791802398,2.513564376431454e-32,True,1.0,3590,514,1026
2,bathrooms_p1_more,0.6832358674463938,0.5227505509171606,1026,0.7023346303501945,0.5954184704184704,0.7172701949860725,0.7023346303501945,0.00526850739600255,0.6541312071861755,0.7109735346937739,1.1644478722515724e-32,True,1.0,3590,514,1026
3,bathrooms_p1_more,0.6871345029239766,0.6091525408698505,1026,0.7023346303501945,0.6752886002886004,0.7935933147632313,0.708171206225681,0.004721212638962757,0.6581098591864601,0.7147630686909349,5.1284113465505555e-34,True,10.0,3590,514,1026
4,bathrooms_p1_more,0.6929824561403509,0.6204590902439997,1026,0.7101167315175098,0.681890331890332,0.8022284122562674,0.7042801556420234,0.0017461623888244493,0.664082189990257,0.7204430168833066,4.140269996894948e-36,True,10.0,3590,514,1026
5,bathrooms_p1_more,0.6929824561403509,0.6385140977151902,1026,0.7276264591439688,0.6976370851370851,0.8005571030640668,0.72568093385214,0.00950900019365447,0.664082189990257,0.7204430168833066,4.140269996894948e-36,True,10.0,3590,514,1026
6,bathrooms_p1_more,0.7007797270955166,0.6359091574182049,1026,0.7101167315175098,0.6771284271284271,0.7986072423398328,0.708171206225681,0.006621458448982548,0.6720535510917536,0.7280080277767016,5.1947658950836236e-39,True,10.0,3590,514,1026
7,bathrooms_p1_more,0.6890838206627681,0.4825635272886895,1026,0.7003891050583657,0.5110930735930735,0.7005571030640668,0.7003891050583657,0.0021508591377142595,0.6601000527826486,0.7166569680934693,1.0475923541644207e-34,True,0.001,3590,514,1026
8,bathrooms_p1_more,0.7124756335282652,0.685079345372961,1026,0.745136186770428,0.751641414141414,0.8863509749303621,0.7042801556420234,0.004631276542505097,0.6840287044881803,0.7393374323726121,1.3240325986798005e-43,True,100.0,3590,514,1026
9,bathrooms_p1_more,0.6851851851851852,0.6722253506138792,1026,0.7354085603112841,0.7226010101010101,0.8805013927576602,0.7354085603112841,0.013167276591599874,0.6561202449573067,0.7128685899213656,2.465753502287852e-33,True,100.0,3590,514,1026
10,bathrooms_p1_more,0.7573099415204678,0.7637064199030741,1026,0.7723735408560312,0.7867604617604618,0.8988857938718663,0.7392996108949417,0.01680187601560523,0.7301491709403402,0.7825511048910779,5.008221453049221e-64,True,100.0,3590,514,1026
11,bathrooms_p1_more,0.7612085769980507,0.7686280943365272,1026,0.7762645914396887,0.8093795093795093,0.9214484679665739,0.7509727626459144,0.021331886126327554,0.7341770197593359,0.7862914420695281,5.040081889102246e-66,True,100.0,3590,514,1026
12,bathrooms_p1_more,0.7894736842105263,0.8169757862485757,1026,0.7859922178988327,0.8470689033189034,0.9376044568245125,0.7859922178988327,0.0371593067177674,0.7634713298785668,0.8133164804317786,1.2149252597180285e-81,True,100.0,3590,514,1026
13,bathrooms_p1_more,0.7865497076023392,0.8149383903907633,1026,0.8093385214007782,0.852768759018759,0.933983286908078,0.7840466926070039,0.036113244597473046,0.7604330025781142,0.8105286682341469,6.249043437574297e-80,True,100.0,3590,514,1026
14,bathrooms_p1_more,0.797270955165692,0.8338824030186269,1026,0.8385214007782101,0.8743506493506494,0.9103064066852368,0.830739299610895,0.05775367189052436,0.771582974570029,0.820741207735208,2.5637438084967732e-86,True,10.0,3590,514,1026
15,bathrooms_p1_more,0.8118908382066277,0.8703648689992154,1026,0.8346303501945526,0.8740800865800867,0.9217270194986072,0.830739299610895,0.05368145807153017,0.7868310661389959,0.8346238136566624,1.5410449223717702e-95,True,10.0,3590,514,1026
16,bathrooms_p1_more,0.8518518518518519,0.9087051562299088,1026,0.867704280155642,0.9172077922077921,0.9816155988857939,0.8540856031128404,0.06320961472930774,0.8288030646801677,0.8722757215893094,4.858290618398125e-124,True,100.0,3590,514,1026
17,bathrooms_p1_more,0.8664717348927875,0.9077296892250802,1026,0.8793774319066148,0.8940205627705627,0.9916434540389972,0.8657587548638133,0.06634466285789431,0.8442855001600335,0.885923983599865,8.164149689405e-136,True,100.0,3590,514,1026
18,bathrooms_p1_more,0.8615984405458089,0.9160366775593817,1026,0.8832684824902723,0.9159992784992784,0.9972144846796658,0.8852140077821011,0.07586439995718701,0.8391160885639677,0.8813831626991238,8.401326422604545e-132,True,100.0,3590,514,1026
19,bathrooms_p1_more,0.8966861598440545,0.9444382861931514,1026,0.8852140077821011,0.9192370129870129,0.9983286908077994,0.8852140077821011,0.07637821635253327,0.8765583916407433,0.9138545335993595,7.547623469943649e-163,True,100.0,3590,514,1026
20,bathrooms_p1_more,0.8840155945419104,0.9477681758323615,1026,0.9007782101167315,0.9355880230880232,0.9735376044568245,0.8988326848249028,0.08018263242962335,0.8629742015546599,0.9021921191937446,4.90944161611846e-151,True,10.0,3590,514,1026
21,bathrooms_p1_more,0.884990253411306,0.9415828282335622,1026,0.8871595330739299,0.9377164502164503,0.973816155988858,0.8871595330739299,0.07948925263836348,0.8640163771463307,0.9030919901014349,6.424999815590256e-152,True,10.0,3590,514,1026
22,bathrooms_p1_more,0.8937621832358674,0.947142990161085,1026,0.8949416342412452,0.9301406926406927,0.9974930362116992,0.896887159533074,0.08278585420094917,0.8734164306882362,0.9111703550537826,4.669933979305648e-160,True,100.0,3590,514,1026
23,bathrooms_p1_more,0.8888888888888888,0.9392949147131462,1026,0.9027237354085603,0.9465548340548341,0.9766016713091922,0.9027237354085603,0.0858073703891065,0.8681895431473888,0.9066870100978227,1.7120647855758156e-155,True,10.0,3590,514,1026
24,bathrooms_p1_more,0.8732943469785575,0.9233238594795439,1026,0.8949416342412452,0.9373737373737374,0.9713091922005571,0.8988326848249028,0.08454023159781308,0.8515381010897354,0.8922657081656933,1.3828225679177606e-141,True,10.0,3590,514,1026
25,bathrooms_p1_more,0.8635477582846004,0.9149614468836045,1026,0.9046692607003891,0.941053391053391,0.9701949860724234,0.9007782101167315,0.08338882919495288,0.8411827848367988,0.8832005594250156,2.1386038039034923e-133,True,10.0,3590,514,1026
26,bathrooms_p1_more,0.8567251461988304,0.9097116608212544,1026,0.9046692607003891,0.9417027417027417,0.9615598885793872,0.9046692607003891,0.08699686815945011,0.8339553993592257,0.8768336194070587,7.052880816271388e-128,True,10.0,3590,514,1026
27,bathrooms_p1_more,0.8567251461988304,0.9085521852677879,1026,0.8910505836575876,0.9416486291486291,0.9646239554317548,0.8891050583657587,0.0791027445848388,0.8339553993592257,0.8768336194070587,7.052880816271388e-128,True,10.0,3590,514,1026
28,bathrooms_p1_more,0.8508771929824561,0.8885218571118197,1026,0.8949416342412452,0.9153679653679654,0.9947075208913649,0.8949416342412452,0.08281188579197235,0.8277735700403508,0.8713631697297648,2.7797641163125036e-123,True,100.0,3590,514,1026
29,bathrooms_p1_more,0.8460038986354775,0.8807934980690189,1026,0.8852140077821011,0.92252886002886,0.9958217270194986,0.8910505836575876,0.08459244993194062,0.8226308167226265,0.8667956905506818,1.5209886424714585e-119,True,100.0,3590,514,1026
30,bathrooms_p1_more,0.8450292397660819,0.8935965025073935,1026,0.8871595330739299,0.9231150793650793,0.9952646239554318,0.8852140077821011,0.07985677622129,0.8216031928651519,0.8658812679087953,8.317059134193802e-119,True,100.0,3590,514,1026
