feature,group,n_total,n_flipped,no_flip_rate,mean_flip_increment,median_flip_increment,std_flip_increment,min_flip_increment,max_flip_increment
bedrooms,all,100,65,0.35,2.1384615384615384,2.0,1.589781068623553,1.0,7.0
bathrooms,all,100,86,0.14,2.6744186046511627,2.0,2.0375409658248596,1.0,9.0
yearBuilt,all,100,59,0.41000000000000003,33.45762711864407,30.0,27.560167429736598,2.0,92.0
lot,all,99,79,0.202020202020202,1348.1012658227849,1000.0,1285.1080728267686,100.0,4900.0
bedrooms,correct,64,41,0.359375,1.951219512195122,1.0,1.5484059466463425,1.0,7.0
bathrooms,correct,64,51,0.203125,2.7058823529411766,2.0,2.0228110900136853,1.0,9.0
yearBuilt,correct,64,34,0.46875,32.411764705882355,31.0,24.62705785532705,2.0,86.0
lot,correct,63,53,0.15873015873015872,1405.6603773584907,1100.0,1200.8674900221765,100.0,4800.0
bedrooms,incorrect,36,24,0.33333333333333337,2.4583333333333335,2.0,1.6412923504696366,1.0,6.0
bathrooms,incorrect,36,35,0.02777777777777779,2.6285714285714286,2.0,2.087578308298233,1.0,8.0
yearBuilt,incorrect,36,25,0.3055555555555556,34.88,28.0,31.591560054335186,2.0,92.0
lot,incorrect,36,26,0.2777777777777778,1230.7692307692307,650.0,1460.0737599913864,100.0,4900.0
