feature,group,n_total,n_flipped,no_flip_rate,mean_flip_increment,median_flip_increment,std_flip_increment,min_flip_increment,max_flip_increment
bedrooms,all,100,98,0.020000000000000018,2.142857142857143,2.0,1.3546407444011688,1.0,8.0
bathrooms,all,100,94,0.06000000000000005,2.595744680851064,2.0,1.5610800571603864,1.0,7.0
yearBuilt,all,100,69,0.31000000000000005,30.52173913043478,26.0,25.78337853532101,2.0,90.0
lot,all,99,70,0.29292929292929293,1851.4285714285713,1700.0,1482.1393524366758,100.0,5000.0
bedrooms,correct,60,58,0.033333333333333326,2.2758620689655173,2.0,1.3865659137858675,1.0,8.0
bathrooms,correct,60,57,0.050000000000000044,2.912280701754386,3.0,1.7655503164168103,1.0,7.0
yearBuilt,correct,60,41,0.31666666666666665,32.048780487804876,22.0,27.840574005857167,2.0,90.0
lot,correct,59,38,0.35593220338983056,1807.8947368421052,1800.0,1408.3499217643719,100.0,5000.0
bedrooms,incorrect,40,40,0.0,1.95,2.0,1.299901376929646,1.0,7.0
bathrooms,incorrect,40,37,0.07499999999999996,2.108108108108108,2.0,1.0215397904847092,1.0,4.0
yearBuilt,incorrect,40,28,0.30000000000000004,28.285714285714285,31.0,22.743101750831553,2.0,74.0
lot,incorrect,40,32,0.19999999999999996,1903.125,1500.0,1586.5329159990306,100.0,5000.0
