pair_index,is_correct,feature,flipped,flip_step_index,flip_increment,original_value,flipped_value,n_steps_tried
0,True,bathrooms,True,2.0,+3,2.0,5.0,3
0,True,bedrooms,False,,no_flip,6.0,,4
0,True,lot,False,,no_flip,5227.0,,50
0,True,yearBuilt,False,,no_flip,1930.0,,47
1,True,bathrooms,True,3.0,+4,2.0,6.0,4
1,True,bedrooms,True,3.0,+4,2.0,6.0,4
1,True,lot,True,10.0,+1100sqft,3001.0,4101.0,11
1,True,yearBuilt,False,,no_flip,1948.0,,38
2,False,bathrooms,True,3.0,+4,2.0,6.0,4
2,False,bedrooms,False,,no_flip,3.0,,7
2,False,lot,True,7.0,+800sqft,5200.0,6000.0,8
2,False,yearBuilt,True,45.0,+92yr,1920.0,2012.0,46
3,True,bathrooms,True,2.0,+3,2.0,5.0,3
3,True,bedrooms,True,1.0,+2,2.0,4.0,2
3,True,lot,False,,no_flip,7213.0,,50
3,True,yearBuilt,True,29.0,+60yr,1955.0,2015.0,30
4,True,bathrooms,True,1.0,+2,2.0,4.0,2
4,True,bedrooms,True,0.0,+1,3.0,4.0,1
4,True,lot,True,17.0,+1800sqft,2731.0,4531.0,18
4,True,yearBuilt,True,15.0,+32yr,1955.0,1987.0,16
5,True,bathrooms,True,2.0,+3,2.0,5.0,3
5,True,bedrooms,True,3.0,+4,3.0,7.0,4
5,True,lot,True,3.0,+400sqft,0.33,0.3392,4
5,True,yearBuilt,False,,no_flip,1950.0,,37
6,False,bathrooms,True,5.0,+6,3.0,9.0,6
6,False,bedrooms,False,,no_flip,3.0,,7
6,False,lot,True,48.0,+4900sqft,3149.0,8049.0,49
6,False,yearBuilt,False,,no_flip,1940.0,,42
7,True,bathrooms,True,1.0,+2,3.0,5.0,2
7,True,bedrooms,False,,no_flip,4.0,,6
7,True,lot,True,9.0,+1000sqft,5227.0,6227.0,10
7,True,yearBuilt,True,28.0,+58yr,1935.0,1993.0,29
8,True,bathrooms,False,,no_flip,1.0,,9
8,True,bedrooms,False,,no_flip,2.0,,8
8,True,lot,True,16.0,+1700sqft,3145.0,4845.0,17
8,True,yearBuilt,False,,no_flip,1941.0,,42
9,False,bathrooms,True,2.0,+3,2.0,5.0,3
9,False,bedrooms,True,0.0,+1,3.0,4.0,1
9,False,lot,True,7.0,+800sqft,3001.0,3801.0,8
9,False,yearBuilt,True,29.0,+60yr,1925.0,1985.0,30
10,True,bathrooms,True,1.0,+2,3.0,5.0,2
10,True,bedrooms,True,0.0,+1,4.0,5.0,1
10,True,lot,True,5.0,+600sqft,6150.0,6750.0,6
10,True,yearBuilt,True,23.0,+48yr,1964.0,2012.0,24
11,True,bathrooms,True,0.0,+1,3.0,4.0,1
11,True,bedrooms,False,,no_flip,4.0,,6
11,True,lot,True,13.0,+1400sqft,1306.0,2706.0,14
11,True,yearBuilt,False,,no_flip,1967.0,,29
12,True,bathrooms,True,0.0,+1,2.0,3.0,1
12,True,bedrooms,True,0.0,+1,3.0,4.0,1
12,True,lot,True,0.0,+100sqft,0.25,0.2523,1
12,True,yearBuilt,True,23.0,+48yr,1955.0,2003.0,24
13,True,bathrooms,True,5.0,+6,2.0,8.0,6
13,True,bedrooms,False,,no_flip,3.0,,7
13,True,lot,True,40.0,+4100sqft,2400.0,6500.0,41
13,True,yearBuilt,False,,no_flip,1900.0,,47
14,True,bathrooms,True,1.0,+2,4.0,6.0,2
14,True,bedrooms,True,0.0,+1,4.0,5.0,1
14,True,lot,True,13.0,+1400sqft,0.29,0.3221,14
14,True,yearBuilt,True,35.0,+72yr,1930.0,2002.0,36
15,True,bathrooms,True,1.0,+2,1.0,3.0,2
15,True,bedrooms,False,,no_flip,3.0,,7
15,True,lot,False,,no_flip,0.26,,50
15,True,yearBuilt,True,36.0,+74yr,1951.0,2025.0,37
16,True,bathrooms,True,1.0,+2,2.0,4.0,2
16,True,bedrooms,False,,no_flip,3.0,,7
16,True,lot,True,3.0,+400sqft,6625.0,7025.0,4
16,True,yearBuilt,True,7.0,+16yr,1986.0,2002.0,8
17,True,bathrooms,False,,no_flip,3.0,,7
17,True,bedrooms,False,,no_flip,4.0,,6
17,True,lot,True,3.0,+400sqft,7800.0,8200.0,4
17,True,yearBuilt,True,19.0,+40yr,1952.0,1992.0,20
18,True,bathrooms,True,2.0,+3,1.0,4.0,3
18,True,bedrooms,True,0.0,+1,3.0,4.0,1
18,True,lot,True,0.0,+100sqft,3300.0,3400.0,1
18,True,yearBuilt,True,10.0,+22yr,1940.0,1962.0,11
19,True,bathrooms,True,1.0,+2,1.0,3.0,2
19,True,bedrooms,False,,no_flip,3.0,,7
19,True,lot,True,21.0,+2200sqft,3484.0,5684.0,22
19,True,yearBuilt,True,14.0,+30yr,1950.0,1980.0,15
20,False,bathrooms,True,4.0,+5,2.0,7.0,5
20,False,bedrooms,False,,no_flip,3.0,,7
20,False,lot,True,20.0,+2100sqft,5501.0,7601.0,21
20,False,yearBuilt,False,,no_flip,1915.0,,47
21,True,bathrooms,False,,no_flip,2.0,,8
21,True,bedrooms,True,2.0,+3,2.0,5.0,3
21,True,lot,True,47.0,+4800sqft,2224.0,7024.0,48
21,True,yearBuilt,False,,no_flip,1994.0,,15
22,True,bathrooms,True,7.0,+8,2.0,10.0,8
22,True,bedrooms,False,,no_flip,3.0,,7
22,True,lot,True,14.0,+1500sqft,6500.0,8000.0,15
22,True,yearBuilt,False,,no_flip,1957.0,,34
23,True,bathrooms,True,1.0,+2,2.0,4.0,2
23,True,bedrooms,True,0.0,+1,3.0,4.0,1
23,True,lot,True,19.0,+2000sqft,6499.0,8499.0,20
23,True,yearBuilt,True,17.0,+36yr,1955.0,1991.0,18
24,True,bathrooms,True,5.0,+6,3.0,9.0,6
24,True,bedrooms,False,,no_flip,3.0,,7
24,True,lot,False,,no_flip,0.59,,50
24,True,yearBuilt,False,,no_flip,1973.0,,26
25,True,bathrooms,True,8.0,+9,1.0,10.0,9
25,True,bedrooms,False,,no_flip,3.0,,7
25,True,lot,True,9.0,+1000sqft,2252.0,3252.0,10
25,True,yearBuilt,False,,no_flip,1920.0,,47
26,True,bathrooms,True,0.0,+1,3.0,4.0,1
26,True,bedrooms,True,0.0,+1,3.0,4.0,1
26,True,lot,True,32.0,+3300sqft,9840.0,13140.0,33
26,True,yearBuilt,True,4.0,+10yr,1940.0,1950.0,5
27,True,bathrooms,False,,no_flip,3.0,,7
27,True,bedrooms,False,,no_flip,4.0,,6
27,True,lot,True,22.0,+2300sqft,2400.0,4700.0,23
27,True,yearBuilt,False,,no_flip,1925.0,,47
28,True,bathrooms,True,0.0,+1,2.0,3.0,1
28,True,bedrooms,True,0.0,+1,3.0,4.0,1
28,True,lot,True,30.0,+3100sqft,7840.0,10940.0,31
28,True,yearBuilt,True,0.0,+2yr,1900.0,1902.0,1
29,True,bathrooms,False,,no_flip,2.0,,8
29,True,bedrooms,True,0.0,+1,2.0,3.0,1
29,True,lot,False,,no_flip,0.45,,50
29,True,yearBuilt,False,,no_flip,1940.0,,42
30,False,bathrooms,True,0.0,+1,3.0,4.0,1
30,False,bedrooms,True,0.0,+1,3.0,4.0,1
30,False,lot,True,4.0,+500sqft,7248.0,7748.0,5
30,False,yearBuilt,True,9.0,+20yr,1995.0,2015.0,10
31,True,bathrooms,True,0.0,+1,3.0,4.0,1
31,True,bedrooms,False,,no_flip,4.0,,6
31,True,lot,True,0.0,+100sqft,0.01,0.0123,1
31,True,yearBuilt,True,0.0,+2yr,1979.0,1981.0,1
32,True,bathrooms,True,1.0,+2,2.0,4.0,2
32,True,bedrooms,True,0.0,+1,3.0,4.0,1
32,True,lot,True,0.0,+100sqft,4200.0,4300.0,1
32,True,yearBuilt,True,6.0,+14yr,1929.0,1943.0,7
33,True,bathrooms,False,,no_flip,2.0,,8
33,True,bedrooms,False,,no_flip,2.0,,8
33,True,lot,False,,no_flip,0.65,,50
33,True,yearBuilt,False,,no_flip,1940.0,,42
34,True,bathrooms,True,1.0,+2,2.0,4.0,2
34,True,bedrooms,True,0.0,+1,4.0,5.0,1
34,True,yearBuilt,False,,no_flip,1961.0,,32
35,True,bathrooms,False,,no_flip,1.0,,9
35,True,bedrooms,True,1.0,+2,2.0,4.0,2
35,True,lot,False,,no_flip,0.5,,50
35,True,yearBuilt,True,25.0,+52yr,1950.0,2002.0,26
36,True,bathrooms,False,,no_flip,2.0,,8
36,True,bedrooms,True,1.0,+2,2.0,4.0,2
36,True,lot,False,,no_flip,3484.0,,50
36,True,yearBuilt,False,,no_flip,1940.0,,42
37,True,bathrooms,True,2.0,+3,2.0,5.0,3
37,True,bedrooms,False,,no_flip,3.0,,7
37,True,lot,True,8.0,+900sqft,9147.0,10047.0,9
37,True,yearBuilt,True,34.0,+70yr,1935.0,2005.0,35
38,True,bathrooms,True,1.0,+2,2.0,4.0,2
38,True,bedrooms,True,0.0,+1,4.0,5.0,1
38,True,lot,True,9.0,+1000sqft,2561.0,3561.0,10
38,True,yearBuilt,True,42.0,+86yr,1934.0,2020.0,43
39,True,bathrooms,True,4.0,+5,2.0,7.0,5
39,True,bedrooms,True,5.0,+6,2.0,8.0,6
39,True,lot,True,25.0,+2600sqft,7749.0,10349.0,26
39,True,yearBuilt,False,,no_flip,1950.0,,37
40,True,bathrooms,True,2.0,+3,2.0,5.0,3
40,True,bedrooms,True,2.0,+3,2.0,5.0,3
40,True,lot,True,18.0,+1900sqft,1306.0,3206.0,19
40,True,yearBuilt,False,,no_flip,2010.0,,7
41,False,bathrooms,True,3.0,+4,2.0,6.0,4
41,False,bedrooms,True,2.0,+3,3.0,6.0,3
41,False,lot,False,,no_flip,0.36,,50
41,False,yearBuilt,False,,no_flip,1926.0,,47
42,True,bathrooms,True,2.0,+3,2.0,5.0,3
42,True,bedrooms,True,3.0,+4,3.0,7.0,4
42,True,lot,True,25.0,+2600sqft,4356.0,6956.0,26
42,True,yearBuilt,False,,no_flip,1941.0,,42
43,True,bathrooms,True,0.0,+1,2.0,3.0,1
43,True,bedrooms,True,1.0,+2,4.0,6.0,2
43,True,lot,True,4.0,+500sqft,6696.0,7196.0,5
43,True,yearBuilt,True,3.0,+8yr,1952.0,1960.0,4
44,True,bathrooms,True,0.0,+1,2.0,3.0,1
44,True,bedrooms,True,0.0,+1,3.0,4.0,1
44,True,lot,True,10.0,+1100sqft,8698.0,9798.0,11
44,True,yearBuilt,True,9.0,+20yr,1935.0,1955.0,10
45,True,bathrooms,True,1.0,+2,2.0,4.0,2
45,True,bedrooms,True,0.0,+1,3.0,4.0,1
45,True,lot,True,4.0,+500sqft,7150.0,7650.0,5
45,True,yearBuilt,True,5.0,+12yr,1954.0,1966.0,6
46,True,bathrooms,False,,no_flip,2.0,,8
46,True,bedrooms,False,,no_flip,2.0,,8
46,True,lot,False,,no_flip,2835.0,,50
46,True,yearBuilt,False,,no_flip,1931.0,,47
47,True,bathrooms,True,3.0,+4,1.0,5.0,4
47,True,bedrooms,True,6.0,+7,2.0,9.0,7
47,True,lot,True,11.0,+1200sqft,901.69,2101.0,12
47,True,yearBuilt,False,,no_flip,1900.0,,47
48,False,bathrooms,True,1.0,+2,3.0,5.0,2
48,False,bedrooms,False,,no_flip,3.0,,7
48,False,lot,True,2.0,+300sqft,3301.0,3601.0,3
48,False,yearBuilt,True,0.0,+2yr,1892.0,1894.0,1
49,False,bathrooms,True,7.0,+8,2.0,10.0,8
49,False,bedrooms,True,0.0,+1,3.0,4.0,1
49,False,lot,True,7.0,+800sqft,1167.0,1967.0,8
49,False,yearBuilt,True,0.0,+2yr,1880.0,1882.0,1
50,True,bathrooms,False,,no_flip,2.0,,8
50,True,bedrooms,False,,no_flip,3.0,,7
50,True,lot,True,20.0,+2100sqft,1080.0,3180.0,21
50,True,yearBuilt,False,,no_flip,1900.0,,47
51,True,bathrooms,True,0.0,+1,2.0,3.0,1
51,True,bedrooms,True,5.0,+6,3.0,9.0,6
51,True,lot,True,4.0,+500sqft,2800.0,3300.0,5
51,True,yearBuilt,False,,no_flip,1927.0,,47
52,True,bathrooms,True,2.0,+3,1.0,4.0,3
52,True,bedrooms,True,1.0,+2,1.0,3.0,2
52,True,lot,True,3.0,+400sqft,1280.0,1680.0,4
52,True,yearBuilt,False,,no_flip,1907.0,,47
53,True,bathrooms,True,0.0,+1,3.0,4.0,1
53,True,bedrooms,True,0.0,+1,3.0,4.0,1
53,True,lot,True,2.0,+300sqft,1881.0,2181.0,3
53,True,yearBuilt,False,,no_flip,2010.0,,7
54,True,bathrooms,False,,no_flip,2.0,,8
54,True,bedrooms,False,,no_flip,3.0,,7
54,True,lot,False,,no_flip,0.4,,50
54,True,yearBuilt,False,,no_flip,1945.0,,40
55,True,bathrooms,True,3.0,+4,1.0,5.0,4
55,True,bedrooms,False,,no_flip,3.0,,7
55,True,lot,True,26.0,+2700sqft,5148.0,7848.0,27
55,True,yearBuilt,False,,no_flip,1943.0,,41
56,True,bathrooms,False,,no_flip,1.0,,9
56,True,bedrooms,True,0.0,+1,3.0,4.0,1
56,True,lot,True,40.0,+4100sqft,4051.0,8151.0,41
56,True,yearBuilt,False,,no_flip,1952.0,,36
57,True,bathrooms,True,7.0,+8,1.0,9.0,8
57,True,bedrooms,True,2.0,+3,2.0,5.0,3
57,True,lot,True,5.0,+600sqft,781.0,1381.0,6
57,True,yearBuilt,False,,no_flip,1910.0,,47
58,True,bathrooms,True,0.0,+1,3.0,4.0,1
58,True,bedrooms,True,0.0,+1,3.0,4.0,1
58,True,lot,True,0.0,+100sqft,6751.0,6851.0,1
58,True,yearBuilt,True,1.0,+4yr,1967.0,1971.0,2
59,True,bathrooms,True,0.0,+1,4.0,5.0,1
59,True,bedrooms,True,1.0,+2,4.0,6.0,2
59,True,lot,True,33.0,+3400sqft,6250.0,9650.0,34
59,True,yearBuilt,True,13.0,+28yr,1931.0,1959.0,14
60,False,bathrooms,True,0.0,+1,2.0,3.0,1
60,False,bedrooms,True,0.0,+1,4.0,5.0,1
60,False,lot,True,0.0,+100sqft,3197.0,3297.0,1
60,False,yearBuilt,True,1.0,+4yr,1899.0,1903.0,2
61,False,bathrooms,True,3.0,+4,1.0,5.0,4
61,False,bedrooms,False,,no_flip,3.0,,7
61,False,lot,True,10.0,+1100sqft,4160.0,5260.0,11
61,False,yearBuilt,True,39.0,+80yr,1934.0,2014.0,40
62,False,bathrooms,True,0.0,+1,2.0,3.0,1
62,False,bedrooms,True,3.0,+4,3.0,7.0,4
62,False,lot,True,2.0,+300sqft,9343.0,9643.0,3
62,False,yearBuilt,True,2.0,+6yr,1956.0,1962.0,3
63,False,bathrooms,True,6.0,+7,3.0,10.0,7
63,False,bedrooms,True,4.0,+5,4.0,9.0,5
63,False,lot,False,,no_flip,0.53,,50
63,False,yearBuilt,True,18.0,+38yr,1960.0,1998.0,19
64,False,bathrooms,True,0.0,+1,3.0,4.0,1
64,False,bedrooms,True,0.0,+1,3.0,4.0,1
64,False,lot,False,,no_flip,0.28,,50
64,False,yearBuilt,True,0.0,+2yr,1950.0,1952.0,1
65,False,bathrooms,True,1.0,+2,2.0,4.0,2
65,False,bedrooms,True,1.0,+2,5.0,7.0,2
65,False,lot,True,35.0,+3600sqft,6534.0,10134.0,36
65,False,yearBuilt,True,24.0,+50yr,1900.0,1950.0,25
66,True,bathrooms,True,0.0,+1,1.0,2.0,1
66,True,bedrooms,True,0.0,+1,3.0,4.0,1
66,True,lot,True,1.0,+200sqft,8086.0,8286.0,2
66,True,yearBuilt,True,24.0,+50yr,1950.0,2000.0,25
67,False,bathrooms,True,0.0,+1,2.0,3.0,1
67,False,bedrooms,True,0.0,+1,3.0,4.0,1
67,False,lot,True,0.0,+100sqft,0.35,0.3523,1
67,False,yearBuilt,True,0.0,+2yr,1954.0,1956.0,1
68,True,bathrooms,True,2.0,+3,1.0,4.0,3
68,True,bedrooms,True,0.0,+1,5.0,6.0,1
68,True,lot,True,35.0,+3600sqft,5401.0,9001.0,36
68,True,yearBuilt,True,30.0,+62yr,1926.0,1988.0,31
69,False,bathrooms,True,3.0,+4,3.0,7.0,4
69,False,bedrooms,True,3.0,+4,2.0,6.0,4
69,False,lot,False,,no_flip,1158.0,,50
69,False,yearBuilt,False,,no_flip,2006.0,,9
70,True,bathrooms,True,0.0,+1,3.0,4.0,1
70,True,bedrooms,True,1.0,+2,3.0,5.0,2
70,True,lot,True,14.0,+1500sqft,7956.0,9456.0,15
70,True,yearBuilt,True,2.0,+6yr,1955.0,1961.0,3
71,True,bathrooms,True,3.0,+4,1.0,5.0,4
71,True,bedrooms,False,,no_flip,3.0,,7
71,True,lot,True,9.0,+1000sqft,3358.0,4358.0,10
71,True,yearBuilt,True,17.0,+36yr,1925.0,1961.0,18
72,False,bathrooms,True,1.0,+2,3.0,5.0,2
72,False,bedrooms,True,1.0,+2,3.0,5.0,2
72,False,lot,False,,no_flip,0.55,,50
72,False,yearBuilt,True,37.0,+76yr,1947.0,2023.0,38
73,False,bathrooms,True,0.0,+1,4.0,5.0,1
73,False,bedrooms,True,0.0,+1,4.0,5.0,1
73,False,lot,True,0.0,+100sqft,0.58,0.5823,1
73,False,yearBuilt,True,0.0,+2yr,1992.0,1994.0,1
74,False,bathrooms,True,0.0,+1,2.0,3.0,1
74,False,bedrooms,True,1.0,+2,3.0,5.0,2
74,False,lot,True,1.0,+200sqft,6329.0,6529.0,2
74,False,yearBuilt,True,2.0,+6yr,1960.0,1966.0,3
75,False,bathrooms,True,3.0,+4,2.0,6.0,4
75,False,bedrooms,False,,no_flip,3.0,,7
75,False,lot,False,,no_flip,0.42,,50
75,False,yearBuilt,False,,no_flip,1948.0,,38
76,False,bathrooms,True,6.0,+7,2.0,9.0,7
76,False,bedrooms,False,,no_flip,3.0,,7
76,False,lot,False,,no_flip,0.46,,50
76,False,yearBuilt,False,,no_flip,1950.0,,37
77,True,bathrooms,True,2.0,+3,2.0,5.0,3
77,True,bedrooms,False,,no_flip,4.0,,6
77,True,lot,True,3.0,+400sqft,5222.0,5622.0,4
77,True,yearBuilt,False,,no_flip,1957.0,,34
78,False,bathrooms,True,1.0,+2,1.0,3.0,2
78,False,bedrooms,False,,no_flip,3.0,,7
78,False,lot,True,9.0,+1000sqft,4051.0,5051.0,10
78,False,yearBuilt,True,33.0,+68yr,1956.0,2024.0,34
79,False,bathrooms,True,0.0,+1,4.0,5.0,1
79,False,bedrooms,True,1.0,+2,4.0,6.0,2
79,False,lot,True,0.0,+100sqft,0.46,0.4623,1
79,False,yearBuilt,True,0.0,+2yr,1979.0,1981.0,1
80,True,bathrooms,True,6.0,+7,3.0,10.0,7
80,True,bedrooms,True,0.0,+1,4.0,5.0,1
80,True,lot,True,0.0,+100sqft,9748.0,9848.0,1
80,True,yearBuilt,True,0.0,+2yr,1969.0,1971.0,1
81,False,bathrooms,False,,no_flip,3.0,,7
81,False,bedrooms,True,1.0,+2,3.0,5.0,2
81,False,lot,True,1.0,+200sqft,2176.0,2376.0,2
81,False,yearBuilt,False,,no_flip,1993.0,,16
82,False,bathrooms,True,0.0,+1,1.0,2.0,1
82,False,bedrooms,True,1.0,+2,3.0,5.0,2
82,False,lot,True,4.0,+500sqft,2543.0,3043.0,5
82,False,yearBuilt,False,,no_flip,1925.0,,47
83,False,bathrooms,True,1.0,+2,1.0,3.0,2
83,False,bedrooms,False,,no_flip,3.0,,7
83,False,lot,True,42.0,+4300sqft,3301.0,7601.0,43
83,False,yearBuilt,False,,no_flip,1920.0,,47
84,False,bathrooms,True,0.0,+1,3.0,4.0,1
84,False,bedrooms,True,1.0,+2,3.0,5.0,2
84,False,lot,True,3.0,+400sqft,6250.0,6650.0,4
84,False,yearBuilt,True,34.0,+70yr,1940.0,2010.0,35
85,False,bathrooms,True,0.0,+1,2.0,3.0,1
85,False,bedrooms,True,1.0,+2,3.0,5.0,2
85,False,lot,True,14.0,+1500sqft,0.01,0.0444,15
85,False,yearBuilt,True,13.0,+28yr,1953.0,1981.0,14
86,False,bathrooms,True,3.0,+4,2.0,6.0,4
86,False,bedrooms,False,,no_flip,3.0,,7
86,False,lot,True,36.0,+3700sqft,1875.0,5575.0,37
86,False,yearBuilt,True,28.0,+58yr,1890.0,1948.0,29
87,True,bathrooms,True,1.0,+2,3.0,5.0,2
87,True,bedrooms,True,1.0,+2,4.0,6.0,2
87,True,lot,True,19.0,+2000sqft,5257.0,7257.0,20
87,True,yearBuilt,True,4.0,+10yr,1995.0,2005.0,5
88,False,bathrooms,True,0.0,+1,2.0,3.0,1
88,False,bedrooms,True,4.0,+5,3.0,8.0,5
88,False,lot,True,32.0,+3300sqft,2877.0,6177.0,33
88,False,yearBuilt,True,22.0,+46yr,1979.0,2025.0,23
89,True,bathrooms,True,0.0,+1,1.0,2.0,1
89,True,bedrooms,True,0.0,+1,3.0,4.0,1
89,True,lot,True,1.0,+200sqft,2775.0,2975.0,2
89,True,yearBuilt,True,0.0,+2yr,1950.0,1952.0,1
90,False,bathrooms,True,0.0,+1,1.0,2.0,1
90,False,bedrooms,True,0.0,+1,3.0,4.0,1
90,False,lot,False,,no_flip,0.33,,50
90,False,yearBuilt,True,4.0,+10yr,1960.0,1970.0,5
91,False,bathrooms,True,0.0,+1,1.0,2.0,1
91,False,bedrooms,True,5.0,+6,3.0,9.0,6
91,False,lot,True,8.0,+900sqft,2249.0,3149.0,9
91,False,yearBuilt,True,40.0,+82yr,1910.0,1992.0,41
92,True,bathrooms,True,0.0,+1,4.0,5.0,1
92,True,bedrooms,True,0.0,+1,4.0,5.0,1
92,True,lot,True,13.0,+1400sqft,0.41,0.4421,14
92,True,yearBuilt,True,18.0,+38yr,1962.0,2000.0,19
93,True,bathrooms,False,,no_flip,3.0,,7
93,True,bedrooms,False,,no_flip,4.0,,6
93,True,lot,True,12.0,+1300sqft,4791.0,6091.0,13
93,True,yearBuilt,False,,no_flip,1950.0,,37
94,True,bathrooms,True,0.0,+1,3.0,4.0,1
94,True,bedrooms,True,0.0,+1,3.0,4.0,1
94,True,lot,True,12.0,+1300sqft,9600.0,10900.0,13
94,True,yearBuilt,True,3.0,+8yr,1944.0,1952.0,4
95,True,bathrooms,True,0.0,+1,2.0,3.0,1
95,True,bedrooms,True,0.0,+1,3.0,4.0,1
95,True,lot,True,0.0,+100sqft,5000.0,5100.0,1
95,True,yearBuilt,True,21.0,+44yr,1952.0,1996.0,22
96,False,bathrooms,True,4.0,+5,3.0,8.0,5
96,False,bedrooms,False,,no_flip,3.0,,7
96,False,lot,False,,no_flip,0.32,,50
96,False,yearBuilt,False,,no_flip,1940.0,,42
97,False,bathrooms,True,0.0,+1,2.0,3.0,1
97,False,bedrooms,False,,no_flip,3.0,,7
97,False,lot,True,1.0,+200sqft,0.28,0.2846,2
97,False,yearBuilt,True,26.0,+54yr,1950.0,2004.0,27
98,False,bathrooms,True,0.0,+1,2.0,3.0,1
98,False,bedrooms,True,1.0,+2,3.0,5.0,2
98,False,lot,True,1.0,+200sqft,6000.0,6200.0,2
98,False,yearBuilt,True,5.0,+12yr,1950.0,1962.0,6
99,False,bathrooms,True,0.0,+1,2.0,3.0,1
99,False,bedrooms,True,5.0,+6,2.0,8.0,6
99,False,lot,False,,no_flip,0.48,,50
99,False,yearBuilt,False,,no_flip,1966.0,,29
