feature_a,feature_b,mean_flip_a,mean_flip_b,rate_a_per_b,rate_b_per_a,interpretation,group
bedrooms,bathrooms,2.1384615384615384,2.6744186046511627,0.7995986622073579,1.250627405052702,1 bathrooms ~ 0.8 bedrooms,all
bedrooms,yearBuilt,2.1384615384615384,33.45762711864407,0.06391551710700646,15.645652969150104,1 yearBuilt ~ 0.1 bedrooms,all
bedrooms,lot,2.1384615384615384,1348.1012658227849,0.001586276634163958,630.407066751662,1 lot ~ 0.0 bedrooms,all
bathrooms,yearBuilt,2.6744186046511627,33.45762711864407,0.07993449730213707,12.510243183493001,1 yearBuilt ~ 0.1 bathrooms,all
bathrooms,lot,2.6744186046511627,1348.1012658227849,0.001983841030680205,504.0726472206935,1 lot ~ 0.0 bathrooms,all
yearBuilt,lot,33.45762711864407,1348.1012658227849,0.024818333731200765,40.292793659343616,1 lot ~ 0.0 yearBuilt,all
bedrooms,bathrooms,1.951219512195122,2.7058823529411766,0.721102863202545,1.3867647058823531,1 bathrooms ~ 0.7 bedrooms,correct
bedrooms,yearBuilt,1.951219512195122,32.411764705882355,0.06020096498605639,16.611029411764708,1 yearBuilt ~ 0.1 bedrooms,correct
bedrooms,lot,1.951219512195122,1405.6603773584907,0.0013881158945817644,720.4009433962265,1 lot ~ 0.0 bedrooms,correct
bathrooms,yearBuilt,2.7058823529411766,32.411764705882355,0.08348457350272233,11.978260869565217,1 yearBuilt ~ 0.1 bathrooms,correct
bathrooms,lot,2.7058823529411766,1405.6603773584907,0.0019249901302803,519.4831829368335,1 lot ~ 0.0 bathrooms,correct
yearBuilt,lot,32.411764705882355,1405.6603773584907,0.02305803395183577,43.36883196931822,1 lot ~ 0.0 yearBuilt,correct
bedrooms,bathrooms,2.4583333333333335,2.6285714285714286,0.9352355072463768,1.0692493946731234,1 bathrooms ~ 0.9 bedrooms,incorrect
bedrooms,yearBuilt,2.4583333333333335,34.88,0.07047974006116207,14.188474576271187,1 yearBuilt ~ 0.1 bedrooms,incorrect
bedrooms,lot,2.4583333333333335,1230.7692307692307,0.0019973958333333337,500.6518904823989,1 lot ~ 0.0 bedrooms,incorrect
bathrooms,yearBuilt,2.6285714285714286,34.88,0.07536041939711664,13.269565217391305,1 yearBuilt ~ 0.1 bathrooms,incorrect
bathrooms,lot,2.6285714285714286,1230.7692307692307,0.002135714285714286,468.22742474916384,1 lot ~ 0.0 bathrooms,incorrect
yearBuilt,lot,34.88,1230.7692307692307,0.028340000000000004,35.28581510232886,1 lot ~ 0.0 yearBuilt,incorrect
