feature_a,feature_b,mean_flip_a,mean_flip_b,rate_a_per_b,rate_b_per_a,interpretation,group
bedrooms,bathrooms,2.142857142857143,2.595744680851064,0.8255269320843092,1.2113475177304964,1 bathrooms ~ 0.8 bedrooms,all
bedrooms,yearBuilt,2.142857142857143,30.52173913043478,0.07020757020757021,14.243478260869566,1 yearBuilt ~ 0.1 bedrooms,all
bedrooms,lot,2.142857142857143,1851.4285714285713,0.0011574074074074073,864.0,1 lot ~ 0.0 bedrooms,all
bathrooms,yearBuilt,2.595744680851064,30.52173913043478,0.08504576589682973,11.758374910905204,1 yearBuilt ~ 0.1 bathrooms,all
bathrooms,lot,2.595744680851064,1851.4285714285713,0.0014020225899658524,713.255269320843,1 lot ~ 0.0 bathrooms,all
yearBuilt,lot,30.52173913043478,1851.4285714285713,0.01648550724637681,60.65934065934066,1 lot ~ 0.0 yearBuilt,all
bedrooms,bathrooms,2.2758620689655173,2.912280701754386,0.7814707104279186,1.279638490164806,1 bathrooms ~ 0.8 bedrooms,correct
bedrooms,yearBuilt,2.2758620689655173,32.048780487804876,0.07101243898598647,14.082039911308202,1 yearBuilt ~ 0.1 bedrooms,correct
bedrooms,lot,2.2758620689655173,1807.8947368421052,0.0012588465592531246,794.3779904306219,1 lot ~ 0.0 bedrooms,correct
bathrooms,yearBuilt,2.912280701754386,32.048780487804876,0.09087025020694812,11.004701733764325,1 yearBuilt ~ 0.1 bathrooms,correct
bathrooms,lot,2.912280701754386,1807.8947368421052,0.0016108685104318293,620.7831325301204,1 lot ~ 0.0 bathrooms,correct
yearBuilt,lot,32.048780487804876,1807.8947368421052,0.017727127489615507,56.41071857726508,1 lot ~ 0.0 yearBuilt,correct
bedrooms,bathrooms,1.95,2.108108108108108,0.925,1.081081081081081,1 bathrooms ~ 0.9 bedrooms,incorrect
bedrooms,yearBuilt,1.95,28.285714285714285,0.06893939393939394,14.505494505494505,1 yearBuilt ~ 0.1 bedrooms,incorrect
bedrooms,lot,1.95,1903.125,0.0010246305418719211,975.9615384615385,1 lot ~ 0.0 bedrooms,incorrect
bathrooms,yearBuilt,2.108108108108108,28.285714285714285,0.07452907452907452,13.417582417582418,1 yearBuilt ~ 0.1 bathrooms,incorrect
bathrooms,lot,2.108108108108108,1903.125,0.0011077086939155904,902.7644230769232,1 lot ~ 0.0 bathrooms,incorrect
yearBuilt,lot,28.285714285714285,1903.125,0.01486277269528501,67.28219696969697,1 lot ~ 0.0 yearBuilt,incorrect
