zpid_1,zpid_2,zipcode_1,year_month.y_1,zestimate_linear_1,interval_range_linear_1,type_1,yearBuilt_1,bathrooms_1,bedrooms_1,lot_1,lotUnit_1,heating_1,cooling_1,parkingType_1,price.y_1,zipcode_2,year_month.y_2,zestimate_linear_2,interval_range_linear_2,type_2,yearBuilt_2,bathrooms_2,bedrooms_2,lot_2,lotUnit_2,heating_2,cooling_2,parkingType_2,price.y_2,pred_choice,model_text,true_choice,correct,price_ratio,difficulty,bedrooms_diff,bathrooms_diff,year_diff,lot_diff,feature_profile,is_correct
59156691,59160911,2132,2020/11/1,1004966.667,22.0,Single Family Residence,1930,2,6,5227.0,sqft,Hot Water,Window Unit(s),unknown,1025000.0,2132,2020/11/1,1027306.909,18.18181818,SingleFamily,1931,3,4,8712.0,sqft,"Forced air, Oil","Wall, Other",unknown,1300000.0,2,CHOICE: 2,2.0,True,0.2682926829268293,hard,2,-1,-1,-3485.0,mixed,True
11570769,11571588,15216,2020/7/1,193090.8,19.2,SingleFamily,1900,2,4,3750.0,sqft,"Forced air, Gas",Central,unknown,226500.0,15216,2020/7/1,169307.5,16.3,SingleFamily,1948,2,2,3001.0,sqft,Other,Central,unknown,175000.0,1,CHOICE: 1,1.0,True,0.29428571428571426,hard,2,0,-48,749.0,bedrooms_dominant,True
11327731,11328009,15214,2020/8/1,138417.6,14.8,"Single Family Residence, Residential",1955,1,3,7501.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,139900.0,15214,2020/8/1,148356.0909,22.45454545,"Single Family Residence, Residential",1920,2,3,5200.0,sqft,"Forced Air, Natural Gas",Electric,unknown,177000.0,2,CHOICE: 2,2.0,True,0.2651894210150107,hard,0,-1,35,2301.0,bathrooms_dominant,True
11394910,11610426,15212,2019/9/1,186379.3077,56.07692308,Townhouse,1995,3,3,1873.0,sqft,Other,Central,Garage - Attached,187500.0,15212,2019/9/1,141135.3333,14.66666667,SingleFamily,1955,2,2,7213.0,sqft,Other,Central,Garage - Attached,145000.0,1,CHOICE: 1,1.0,True,0.29310344827586204,hard,1,1,40,-5340.0,year_dominant,True
11545140,11635346,15217,2021/12/1,272038.6364,17.77272727,"Single Family Residence, Residential",1956,2,3,5131.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,290000.0,15217,2021/12/1,291930.0,24.9,"Single Family Residence, Residential",1955,2,3,2731.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,240000.0,1,CHOICE: 1,1.0,True,0.20833333333333334,hard,0,0,1,2400.0,lot_dominant,True
11441995,11522615,15237,2021/4/1,285645.5,21.66666667,"Single Family Residence, Residential",1950,2,3,0.33,Acres,"Forced Air, Natural Gas",Central Air,unknown,294000.0,15237,2021/4/1,271911.1538,15.0,"Single Family Residence, Residential",1973,4,4,0.43,Acres,"Hot Water, Natural Gas",Central Air,unknown,370500.0,2,CHOICE: 2,2.0,True,0.2602040816326531,hard,-1,-2,-23,-0.09999999999999998,mixed,True
11304040,11645110,15227,2020/8/1,136235.2,23.2,SingleFamily,1929,1,5,9099.0,sqft,"Forced air, Gas",Central,unknown,137000.0,15227,2020/8/1,161326.5,25.9,SingleFamily,1940,3,3,3149.0,sqft,"Other, Forced air, Gas",Central,unknown,170000.0,2,CHOICE: 2,2.0,True,0.24087591240875914,hard,2,-2,-11,5950.0,mixed,True
59158397,59162165,2132,2021/7/1,921290.2857,10.64285714,Single Family Residence,1935,3,4,5227.0,sqft,Natural Gas,Window Unit(s),unknown,950000.0,2132,2021/7/1,945952.52,12.56,Single Family Residence,1925,3,4,7840.0,sqft,"Hot Water, Baseboard",Window Unit(s),unknown,1150000.0,2,CHOICE: 2,2.0,True,0.21052631578947367,hard,0,0,10,-2613.0,lot_dominant,True
11304749,11305203,15227,2019/9/1,128894.1,19.1,SingleFamily,1948,3,3,0.31,Acres,Other,Central,Garage - Attached,140000.0,15227,2019/9/1,113907.9231,17.38461538,SingleFamily,1941,1,2,3145.0,sqft,"Forced air, Gas",Central,Garage - Attached,115000.0,1,CHOICE: 1,1.0,True,0.21739130434782608,hard,1,2,7,-3144.69,mixed,True
11445120,11570894,15216,2020/8/1,135299.2727,22.45454545,SingleFamily,1925,2,3,3001.0,sqft,"Forced air, Gas",unknown,unknown,181500.0,15216,2020/8/1,129914.9,24.8,SingleFamily,1932,1,2,3740.0,sqft,Other,unknown,unknown,150000.0,1,CHOICE: 1,1.0,True,0.21,hard,1,1,-7,-739.0,mixed,True
11522518,11559309,15237,2020/7/1,321430.1111,15.44444444,SingleFamily,1951,3,4,1.1,Acres,Other,Central,unknown,385000.0,15237,2020/7/1,309399.6667,12.66666667,SingleFamily,1964,3,4,6150.0,sqft,Other,Central,unknown,320000.0,1,CHOICE: 1,1.0,True,0.203125,hard,0,0,-13,-6148.9,lot_dominant,True
11290286,11343224,15218,2022/6/1,354461.5385,19.0,"Single Family Residence, Residential",1967,3,4,1306.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,345000.0,15218,2022/6/1,408439.5604,19.23076923,"Single Family Residence, Residential",1930,4,3,3001.0,sqft,"Hot Water, Natural Gas","Window A/C, Wall Unit(s)",unknown,434900.0,2,CHOICE: 2,2.0,True,0.26057971014492753,hard,1,-1,37,-1695.0,year_dominant,True
11472728,11580863,15241,2021/6/1,304587.0,19.3,"Single Family Residence, Residential",1940,2,3,0.5,Acres,Natural Gas,Central Air,unknown,400000.0,15241,2021/6/1,275397.3,20.2,"Single Family Residence, Residential",1955,2,3,0.25,Acres,"Forced Air, Natural Gas","Central Air, Electric",unknown,330000.0,1,CHOICE: 1,1.0,True,0.21212121212121213,hard,0,0,-15,0.25,mixed,True
11515713,11585668,15211,2020/11/1,182578.0,35.66666667,"Single Family Residence, Residential",1890,3,4,3345.0,sqft,"Hot Water, Natural Gas",Central Air,Open Parking,311000.0,15211,2020/11/1,192811.1538,40.46153846,"Single Family Residence, Residential",1900,2,3,2400.0,sqft,Natural Gas,Central Air,Garage,243725.0,1,CHOICE: 1,1.0,True,0.27602831059595856,hard,1,1,-10,945.0,mixed,True
11483855,92381120,15237,2020/9/1,358294.0769,14.84615385,"Single Family Residence, Residential",1930,4,4,0.29,Acres,"Hot Water, Natural Gas",Central Air,unknown,342500.0,15237,2020/9/1,411415.6,14.0,"Single Family Residence, Residential",2009,4,4,0.31,Acres,Natural Gas,Central Air,unknown,445000.0,2,CHOICE: 2,2.0,True,0.29927007299270075,hard,0,0,-79,-0.020000000000000018,year_dominant,True
11491404,11492519,15235,2020/7/1,110318.3333,46.0,SingleFamily,1951,1,3,0.26,Acres,Other,Central,unknown,104000.0,15235,2020/7/1,121319.9,19.8,SingleFamily,1937,2,4,7405.0,sqft,Other,Central,unknown,135000.0,2,CHOICE: 2,2.0,True,0.2980769230769231,hard,-1,-1,14,-7404.74,lot_dominant,True
11467909,11506567,15236,2020/7/1,178351.6667,20.0,SingleFamily,1986,2,3,6625.0,sqft,"Forced air, Gas",Central,unknown,169600.0,15236,2020/7/1,207590.5556,18.88888889,SingleFamily,1962,3,3,7800.0,sqft,Other,Central,unknown,206000.0,2,CHOICE: 2,2.0,True,0.21462264150943397,hard,0,-1,24,-1175.0,bathrooms_dominant,True
11441235,87994822,15229,2021/11/1,346764.3836,11.78082192,"Single Family Residence, Residential",1952,3,4,7800.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,298500.0,15229,2021/11/1,350876.1905,11.0,SingleFamily,2008,3,3,8109.0,sqft,"Other, Gas",Central,unknown,362500.0,2,CHOICE: 2,2.0,True,0.21440536013400335,hard,1,0,-56,-309.0,bedrooms_dominant,True
11405796,11409041,15229,2020/12/1,171381.0,16.5,"Single Family Residence, Residential",1940,1,3,3300.0,sqft,Natural Gas,Central Air,unknown,175000.0,15229,2020/12/1,176515.0,20.0,"Single Family Residence, Residential",1922,2,4,3301.0,sqft,Natural Gas,Central Air,unknown,222500.0,2,CHOICE: 2,2.0,True,0.2714285714285714,hard,-1,-1,18,-1.0,mixed,True
59134121,59136299,2130,2021/8/1,655672.5,13.25,Single Family Residence,1950,1,3,3484.0,sqft,Baseboard,Window Unit(s),unknown,580000.0,2130,2021/8/1,700513.9,14.85,Single Family Residence,1914,2,3,2178.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,700000.0,2,CHOICE: 2,2.0,True,0.20689655172413793,hard,0,-1,36,1306.0,bathrooms_dominant,True
11492982,11568044,15235,2021/5/1,107838.0,31.25,"Single Family Residence, Residential",1950,1,3,7501.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,147000.0,15235,2021/5/1,134774.3,27.5,"Single Family Residence, Residential",1915,2,3,5501.0,sqft,Natural Gas,Central Air,unknown,178700.0,2,CHOICE: 2,2.0,True,0.21564625850340136,hard,0,-1,35,2000.0,bathrooms_dominant,True
11391129,11468155,15236,2021/5/1,147399.1818,11.90909091,"Townhouse, Residential",1994,2,2,2224.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,140000.0,15236,2021/5/1,168405.9091,14.54545455,"Single Family Residence, Residential",1955,2,4,6642.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,173000.0,2,CHOICE: 2,2.0,True,0.2357142857142857,hard,-2,0,39,-4418.0,bedrooms_dominant,True
11429833,11506473,15236,2021/10/1,226313.5593,15.76271186,"Single Family Residence, Residential",1957,2,3,6500.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,225000.0,15236,2021/10/1,219317.2414,16.79310345,"Single Family Residence, Residential",1938,3,3,7871.0,sqft,"Forced Air, Natural Gas","Central Air, Electric",unknown,287000.0,2,CHOICE: 2,2.0,True,0.27555555555555555,hard,0,-1,19,-1371.0,bathrooms_dominant,True
11393919,11467668,15236,2020/6/1,180924.7778,19.0,SingleFamily,1950,2,3,8494.0,sqft,Other,Central,unknown,185500.0,15236,2020/6/1,179516.0,23.0,SingleFamily,1955,2,3,6499.0,sqft,"Other, Gas",Central,unknown,145101.0,1,CHOICE: 1,1.0,True,0.2784198592704392,hard,0,0,-5,1995.0,mixed,True
11442092,121887344,15237,2021/11/1,410359.322,12.30508475,"Single Family Residence, Residential",1973,3,3,0.59,Acres,"Forced Air, Natural Gas",Central Air,unknown,385000.0,15237,2021/11/1,446073.913,11.73913043,"Single Family Residence, Residential",2013,4,4,10084.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,482000.0,2,CHOICE: 2,2.0,True,0.2519480519480519,hard,-1,-1,-40,-10083.41,year_dominant,True
11540399,11639336,15217,2020/10/1,240560.75,20.5,"Single Family Residence, Residential",1907,2,4,2500.0,sqft,"Forced Air, Natural Gas","Central Air, Electric",Open Parking,281000.0,15217,2020/10/1,214577.8182,18.18181818,"Single Family Residence, Residential",1920,1,3,2252.0,sqft,"Radiant, Natural Gas",Window A/C,Open Parking,208000.0,1,CHOICE: 1,1.0,True,0.35096153846153844,medium,1,1,-13,248.0,mixed,True
11432769,11580921,15241,2020/8/1,282012.8,16.8,"Single Family Residence, Residential",1940,3,3,9840.0,sqft,"Forced Air, Natural Gas","Central Air, Electric",unknown,300000.0,15241,2020/8/1,320886.2222,15.33333333,SingleFamily,1976,3,4,1306.0,sqft,"Forced air, Gas",Central,unknown,425000.0,2,CHOICE: 2,2.0,True,0.4166666666666667,medium,-1,0,-36,8534.0,bedrooms_dominant,True
11278098,11619813,15206,2022/7/1,441589.8734,12.97468354,"Single Family Residence, Residential",1925,3,4,2400.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,430000.0,15206,2022/7/1,519318.6441,25.54237288,"Single Family Residence, Residential",1933,4,4,4356.0,sqft,"Hot Water, Natural Gas",Central Air,unknown,580000.0,2,CHOICE: 2,2.0,True,0.3488372093023256,medium,0,-1,-8,-1956.0,bathrooms_dominant,True
59125951,59128372,2136,2020/12/1,542195.2667,17.46666667,Single Family Residence,1900,2,3,7840.0,sqft,"Forced Air, Central",Central Air,unknown,437000.0,2136,2020/12/1,502692.3077,18.15384615,Single Family Residence,1950,3,4,4791.0,sqft,Natural Gas,Window Unit(s),unknown,580000.0,2,CHOICE: 2,2.0,True,0.32723112128146453,medium,-1,-1,-50,3049.0,year_dominant,True
11469450,11507215,15236,2019/10/1,182373.6,18.0,SingleFamily,1940,2,2,0.45,Acres,Other,Central,unknown,200000.0,15236,2019/10/1,216554.25,21.83333333,SingleFamily,1958,3,3,9056.0,sqft,Other,Central,unknown,279900.0,2,CHOICE: 2,2.0,True,0.3995,medium,-1,-1,-18,-9055.55,lot_dominant,True
11467692,11470022,15236,2021/4/1,234354.0,15.0,"Single Family Residence, Residential",1995,3,3,7248.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,275000.0,15236,2021/4/1,224713.5,19.25,"Single Family Residence, Residential",1962,2,3,0.37,Acres,"Forced Air, Natural Gas","Central Air, Electric",unknown,190000.0,1,CHOICE: 1,1.0,True,0.4473684210526316,medium,0,1,33,7247.63,bathrooms_dominant,True
11508783,11581586,15241,2022/6/1,460251.6484,15.53846154,"Single Family Residence, Residential",1979,3,4,0.01,Acres,"Forced Air, Electric","Central Air, Electric",unknown,527500.0,15241,2022/6/1,535884.6154,19.07692308,"Single Family Residence, Residential",1967,4,4,0.52,Acres,"Forced Air, Natural Gas",Central Air,unknown,700000.0,2,CHOICE: 2,2.0,True,0.32701421800947866,medium,0,-1,12,-0.51,bathrooms_dominant,True
11636435,11636470,15217,2021/8/1,333113.3333,16.88333333,"Single Family Residence, Residential",1929,2,3,4200.0,sqft,"Forced Air, Natural Gas","Central Air, Electric",unknown,309000.0,15217,2021/8/1,339733.3333,20.11111111,"Single Family Residence, Residential",1933,3,3,3977.0,sqft,"Hot Water, Natural Gas",Central Air,unknown,437000.0,2,CHOICE: 2,2.0,True,0.41423948220064727,medium,0,-1,-4,223.0,bathrooms_dominant,True
11327825,11505720,15214,2020/11/1,159546.7692,13.46153846,"Single Family Residence, Residential",1940,2,2,0.65,Acres,"Radiant, Natural Gas",Window A/C,unknown,155000.0,15214,2020/11/1,198494.8,51.3,"Single Family Residence, Residential",1910,3,4,3463.0,sqft,Natural Gas,Central Air,unknown,225500.0,2,CHOICE: 2,2.0,True,0.45483870967741935,medium,-2,-1,30,-3462.35,mixed,True
11470137,11547218,15236,2020/7/1,177969.7273,20.18181818,SingleFamily,1961,2,4,1.64,Acres,Other,Central,unknown,199000.0,15236,2020/7/1,231473.2,30.8,SingleFamily,1954,3,4,7500.0,sqft,"Forced air, Gas",Central,unknown,264900.0,2,CHOICE: 2,2.0,True,0.33115577889447234,medium,0,-1,7,-7498.36,bathrooms_dominant,True
11417666,11494319,15235,2020/4/1,129028.8,40.8,SingleFamily,1952,2,3,6560.0,sqft,Other,Central,unknown,157900.0,15235,2020/4/1,103083.2,23.9,SingleFamily,1950,1,2,0.5,Acres,"Forced air, Gas",Central,unknown,108000.0,1,CHOICE: 1,1.0,True,0.462037037037037,medium,1,1,2,6559.5,lot_dominant,True
59156994,59160722,2132,2021/11/1,538389.8305,22.33898305,Single Family Residence,1940,2,2,3484.0,sqft,"Hot Water, Natural Gas",Other,unknown,480780.0,2132,2021/11/1,621532.2034,10.0,Single Family Residence,1950,1,3,6969.0,sqft,Baseboard,Central Air,unknown,655000.0,2,CHOICE: 2,2.0,True,0.3623694829235825,medium,-1,1,-10,-3485.0,lot_dominant,True
59157549,59160570,2132,2021/6/1,800198.4444,15.55555556,Single Family Residence,1935,2,3,9147.0,sqft,"Hot Water, Heat Pump","3 or More, Whole House Fan, Heat Pump",unknown,820000.0,2132,2021/6/1,923072.8571,13.85714286,Single Family Residence,1984,3,6,9147.0,sqft,Forced Air,Central Air,unknown,1125000.0,2,CHOICE: 2,2.0,True,0.3719512195121951,medium,-3,-1,-49,0.0,mixed,True
11325144,11404688,15202,2021/8/1,214066.6667,19.0,"Single Family Residence, Residential",1934,2,4,2561.0,sqft,"Radiant, Other",Window A/C,unknown,155000.0,15202,2021/8/1,240249.1111,17.22222222,"Single Family Residence, Residential",1960,2,3,3994.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,207000.0,2,CHOICE: 2,2.0,True,0.33548387096774196,medium,1,0,-26,-1433.0,bedrooms_dominant,True
11305408,11391075,15227,2021/9/1,205939.1818,24.72727273,"Single Family Residence, Residential",1910,3,5,10219.0,sqft,Natural Gas,Central Air,unknown,245000.0,15227,2021/9/1,177927.1186,13.38983051,"Single Family Residence, Residential",1950,2,2,7749.0,sqft,Natural Gas,Central Air,unknown,175000.0,1,CHOICE: 1,1.0,True,0.4,medium,3,1,-40,2470.0,mixed,True
59160591,117686106,2132,2021/9/1,646653.0,18.0,Single Family Residence,1935,3,3,3484.0,sqft,Central,Central Air,unknown,780000.0,2132,2021/9/1,571477.25,11.5,"Condominium, Townhouse",2010,2,2,1306.0,sqft,"Forced Air, Central, Unit Control, Natural Gas","Central Air, Unit Control, Individual",unknown,550000.0,1,CHOICE: 1,1.0,True,0.41818181818181815,medium,1,1,-75,2178.0,year_dominant,True
11522821,11617337,15237,2021/12/1,227389.6552,27.03448276,"Single Family Residence, Residential",1926,2,3,0.36,Acres,"Forced Air, Natural Gas",Central Air,unknown,254900.0,15237,2021/12/1,192415.2542,12.10169492,"Townhouse, Residential",1973,2,3,7884.0,sqft,"Forced Air, Natural Gas","Central Air, Electric",unknown,191000.0,1,CHOICE: 1,1.0,True,0.3345549738219895,medium,0,0,-47,-7883.64,year_dominant,True
11394013,11470364,15236,2022/4/1,183639.5833,21.97222222,"Single Family Residence, Residential",1941,2,3,4356.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,155000.0,15236,2022/4/1,183673.875,13.625,SingleFamily,1952,2,3,7152.0,sqft,"Other, Gas",Central,unknown,205000.0,2,CHOICE: 2,2.0,True,0.3225806451612903,medium,0,0,-11,-2796.0,lot_dominant,True
11452973,11460620,15220,2020/3/1,213648.7,21.9,SingleFamily,1952,2,4,6696.0,sqft,Other,Central,unknown,180000.0,15220,2020/3/1,231980.7222,11.97222222,SingleFamily,1957,3,3,9147.0,sqft,Other,Central,unknown,234900.0,2,CHOICE: 2,2.0,True,0.305,medium,1,-1,-5,-2451.0,lot_dominant,True
11484380,11590428,15237,2021/7/1,208062.8667,17.8,"Single Family Residence, Residential",1935,2,3,8698.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,176000.0,15237,2021/7/1,233892.0,17.09090909,"Single Family Residence, Residential",1962,2,2,6050.0,sqft,"Forced Air, Natural Gas",Central Air,unknown,228900.0,2,CHOICE: 2,2.0,True,0.30056818181818185,medium,1,0,-27,2648.0,bedrooms_dominant,True
