pair_index,feature,is_correct,shift_type,did_flip,n_steps,mention_counts
0,bathrooms,True,gradual,True,3,"[1, 1, 2]"
0,bedrooms,True,no_change,False,4,"[2, 4, 4, 4]"
0,lot,True,no_change,False,50,"[1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
0,yearBuilt,True,no_change,False,47,"[2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 4, 3, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,bathrooms,True,gradual,True,4,"[2, 2, 2, 3]"
1,bedrooms,True,gradual,True,4,"[1, 2, 2, 3]"
1,lot,True,non_monotonic,True,11,"[3, 2, 2, 3, 2, 3, 3, 2, 2, 2, 5]"
1,yearBuilt,True,no_change,False,38,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 6, 6, 6, 6, 6, 6, 6, 4, 4, 4]"
2,bathrooms,False,gradual,True,4,"[2, 2, 3, 3]"
2,bedrooms,False,no_change,False,7,"[2, 2, 2, 2, 2, 2, 2]"
2,lot,False,non_monotonic,True,8,"[4, 4, 4, 5, 4, 4, 5, 4]"
2,yearBuilt,False,non_monotonic,True,46,"[4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 2, 3, 2, 5, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 5, 5, 5, 5, 5, 5, 4, 2, 5, 5, 3, 5]"
3,bathrooms,True,non_monotonic,True,3,"[2, 1, 2]"
3,bedrooms,True,gradual,True,2,"[0, 2]"
3,lot,True,no_change,False,50,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
3,yearBuilt,True,non_monotonic,True,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
4,bathrooms,True,sudden,True,2,"[2, 2]"
4,bedrooms,True,sudden,True,1,[1]
4,lot,True,non_monotonic,True,18,"[6, 6, 6, 6, 6, 6, 6, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 4]"
4,yearBuilt,True,non_monotonic,True,16,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3]"
5,bathrooms,True,non_monotonic,True,3,"[2, 1, 1]"
5,bedrooms,True,gradual,True,4,"[1, 2, 2, 2]"
5,lot,True,non_monotonic,True,4,"[5, 5, 4, 5]"
5,yearBuilt,True,no_change,False,37,"[3, 4, 3, 4, 3, 2, 4, 2, 4, 4, 4, 4, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 0, 0]"
6,bathrooms,False,non_monotonic,True,6,"[2, 3, 3, 2, 2, 2]"
6,bedrooms,False,no_change,False,7,"[2, 1, 2, 2, 2, 2, 2]"
6,lot,False,sudden,True,49,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3]"
6,yearBuilt,False,no_change,False,42,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 2, 2, 3, 3, 2, 3, 3, 3]"
7,bathrooms,True,sudden,True,2,"[3, 2]"
7,bedrooms,True,no_change,False,6,"[2, 3, 2, 2, 3, 3]"
7,lot,True,non_monotonic,True,10,"[3, 3, 3, 3, 3, 2, 3, 3, 3, 4]"
7,yearBuilt,True,non_monotonic,True,29,"[1, 1, 2, 3, 3, 3, 1, 1, 2, 2, 2, 2, 1, 3, 3, 3, 3, 2, 3, 3, 3, 3, 3, 3, 5, 3, 3, 3, 5]"
8,bathrooms,True,no_change,False,9,"[2, 2, 2, 2, 2, 2, 2, 2, 2]"
8,bedrooms,True,no_change,False,8,"[2, 2, 2, 2, 2, 2, 2, 2]"
8,lot,True,gradual,True,17,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 4]"
8,yearBuilt,True,no_change,False,42,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 1, 2, 2]"
9,bathrooms,False,sudden,True,3,"[3, 3, 2]"
9,bedrooms,False,sudden,True,1,[2]
9,lot,False,non_monotonic,True,8,"[4, 4, 5, 5, 4, 4, 4, 4]"
9,yearBuilt,False,non_monotonic,True,30,"[5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
10,bathrooms,True,sudden,True,2,"[2, 1]"
10,bedrooms,True,sudden,True,1,[1]
10,lot,True,non_monotonic,True,6,"[3, 9, 3, 10, 3, 3]"
10,yearBuilt,True,gradual,True,24,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2]"
11,bathrooms,True,sudden,True,1,[1]
11,bedrooms,True,no_change,False,6,"[2, 2, 2, 2, 2, 2]"
11,lot,True,non_monotonic,True,14,"[4, 5, 5, 5, 5, 5, 4, 4, 4, 4, 4, 5, 4, 6]"
11,yearBuilt,True,no_change,False,29,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 4]"
12,bathrooms,True,sudden,True,1,[4]
12,bedrooms,True,sudden,True,1,[4]
12,lot,True,sudden,True,1,[7]
12,yearBuilt,True,non_monotonic,True,24,"[2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 2, 2, 2, 2, 2, 2, 2, 2, 2, 5, 4, 4]"
13,bathrooms,True,non_monotonic,True,6,"[1, 3, 1, 2, 2, 3]"
13,bedrooms,True,no_change,False,7,"[1, 3, 2, 2, 2, 2, 2]"
13,lot,True,non_monotonic,True,41,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 1, 5, 1, 1, 5, 1, 5, 5, 5, 5, 5, 1, 1, 1, 5, 1, 5, 5, 1, 5, 3]"
13,yearBuilt,True,no_change,False,47,"[0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 3, 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 0, 0, 0, 0, 2, 2, 2, 0, 2, 2, 2, 0, 0, 0, 0, 0, 2, 0, 2, 2, 2, 2, 2, 2]"
14,bathrooms,True,sudden,True,2,"[2, 2]"
14,bedrooms,True,sudden,True,1,[5]
14,lot,True,non_monotonic,True,14,"[7, 6, 6, 6, 4, 4, 7, 7, 3, 4, 9, 4, 6, 3]"
14,yearBuilt,True,non_monotonic,True,36,"[6, 5, 6, 6, 6, 4, 4, 4, 6, 3, 6, 4, 6, 6, 5, 4, 5, 4, 5, 5, 5, 5, 5, 5, 3, 6, 3, 3, 6, 6, 6, 6, 6, 6, 4, 3]"
15,bathrooms,True,sudden,True,2,"[1, 1]"
15,bedrooms,True,no_change,False,7,"[1, 1, 1, 1, 1, 1, 2]"
15,lot,True,no_change,False,50,"[1, 1, 2, 1, 1, 2, 3, 3, 3, 4, 4, 3, 4, 4, 4, 1, 3, 3, 1, 1, 1, 3, 1, 1, 3, 3, 3, 2, 2, 3, 2, 3, 2, 2, 1, 2, 2, 1, 3, 1, 3, 2, 2, 3, 3, 1, 2, 1, 1, 2]"
15,yearBuilt,True,gradual,True,37,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2]"
16,bathrooms,True,gradual,True,2,"[1, 2]"
16,bedrooms,True,no_change,False,7,"[2, 2, 3, 3, 2, 2, 2]"
16,lot,True,gradual,True,4,"[1, 1, 4, 5]"
16,yearBuilt,True,non_monotonic,True,8,"[3, 4, 3, 3, 2, 4, 4, 3]"
17,bathrooms,True,no_change,False,7,"[2, 2, 2, 2, 2, 2, 2]"
17,bedrooms,True,no_change,False,6,"[2, 1, 1, 1, 1, 2]"
17,lot,True,non_monotonic,True,4,"[4, 3, 4, 3]"
